BASFORD-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ862477,Long,-2.2072009,Lat,53.026408,Elevation,385,ft.,,,,,,,,,,,,,
Station no,2358,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,5.34,1.66,3.89,3.14,3.15,,,,,,,,
February,,,,,,,,,2.84,0.67,0.26,3.69,0.12,,,,,,,,
March,,,,,,,,,1.45,0.45,3,0.15,1.99,,,,,,,,
April,,,,,,,,,1.55,0.7,2.76,4.34,2.88,,,,,,,,
May,,,,,,,,,0.61,1.77,2.67,3.46,4.95,,,,,,,,
June,,,,,,,,,4.11,1.48,1.34,4.92,0.75,,,,,,,,
July,,,,,,,,,1.93,3.19,6.85,3.52,3.67,,,,,,,,
August,,,,,,,,,4.12,3.81,3.49,6.23,1.99,,,,,,,,
September,,,,,,,,,0.81,1.4,3.06,2.82,2.07,,,,,,,,
October,,,,,,,,,4.08,4.61,4.41,1.08,5.51,,,,,,,,
November,,,,,,,,,4.63,6.81,3.41,5.25,2.33,,,,,,,,
December,,,,,,,,,2.83,5.45,3.34,2.18,0.9,,,,,,,,
Total,,,,,,,,,34.3,32,38.48,40.78,30.31,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is a sewage works with stated relationship to church and station.,,,,,,,,,,,,,,,,,,,,,
Altitudes match.,,,,,,,,,,,,,,,,,,,,,
No Staffordshire locations within 10km for some of the period covered.,,,,,,,,,,,,,,,,,,,,,
