BILLINGSHURST-THE-NOOK,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ090240,Long,-0.44783191,Lat,51.005071,Elevation,120,ft,,,,,,,,,,,,,
Station no,460,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,4.86,1.01,4.34,2.11,3.79,2.49,2.49,,,,,,
February,,,,,,,,,1.86,0.73,1.13,2.4,0.47,2.84,0.06,,,,,,
March,,,,,,,,,2.11,0,1.53,0.62,1.6,3.32,2.64,,,,,,
April,,,,,,,,,2.34,0.59,2.27,3.29,2.32,0.51,2.6,,,,,,
May,,,,,,,,,1.06,2.23,1.76,2.41,3.91,2.1,0.55,,,,,,
June,,,,,,,,,2.11,1.83,0.5,1.49,1.57,1.48,1.04,,,,,,
July,,,,,,,,,1.92,1.85,2.47,3.02,2.96,2.33,3.5,,,,,,
August,,,,,,,,,2.52,2.16,3.16,4.81,0.38,0.75,2.61,,,,,,
September,,,,,,,,,0.95,0.49,2.87,1.98,1.98,4.11,1.91,,,,,,
October,,,,,,,,,6.42,4.52,2.2,0.41,6.77,1.68,2.2,,,,,,
November,,,,,,,,,2.9,7.48,5.16,4.37,1.28,0.88,3.99,,,,,,
December,,,,,,,,,3.54,8.39,2.83,1.02,0.76,0.76,8.12,,,,,,
Total,,,,,,,,,32.59,31.28,30.22,27.93,27.79,23.25,31.71,,,,,,
