"BARNHAM, WHITE LODGE, DOWNVIEW ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,425,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,2.29,4.41,4.22,2.57,5.15,1.42,3.95,
February,,,,,0.47,4.66,2.42,3.89,1.96,1.35,1.26,
March,,,,,1.78,0.42,0.54,3.30,2.25,0.12,1.70,
April,,,,,2.79,3.55,3.16,1.85,2.87,0.72,2.25,
May,,,,,3.41,3.50,2.76,1.16,1.15,2.20,2.07,
June,,,,,2.98,0.04,3.00,3.51,2.22,2.53,0.67,
July,,,,,3.47,3.44,1.51,3.16,1.91,1.70,2.54,
August,,,,,2.68,3.74,2.13,4.09,2.58,2.18,3.37,
September,,,,,3.56,2.71,0.44,6.08,0.92,0.54,2.56,
October,,,,,5.16,3.41,2.73,2.08,7.75,4.73,2.43,
November,,,,,2.39,4.26,6.77,3.12,3.50,6.61,5.43,
December,,,,,4.39,4.61,0.41,4.60,3.87,6.38,3.20,
Total,,,,,35.37,38.75,30.09,39.41,36.13,30.48,31.43,
Calc annual,0.00,0.00,0.00,0.00,35.37,38.75,30.09,39.41,36.13,30.48,31.43,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
