LENNOXTOWN,,,,,,,,,,
Grid ref,NS629788,Long,-4.198973,Lat,55.982532,Elevation,320,ft,,
Station no,5381/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,6.21,3.79,3.12,6.91,4.64,2.02,3.91
February,,,,5.7,2.52,2.12,5.47,2.43,2.19,4.31
March,,,1.77,3.52,2.68,3.35,6.56,1.77,3.07,2.98
April,,,3.03,2.6,3.25,1.7,2.54,2.25,3.78,4.27
May,,,3.22,4.67,4.78,3.3,3.74,4.69,0.98,4.2
June,,,2.22,4.1,3.63,3.16,2.63,3.25,2.92,3.88
July,,,8.11,3.59,1.65,5.78,4.48,4.27,6.43,4.37
August,,,3.64,5.38,1.19,5.48,5.13,6.42,1.34,5.07
September,,,5.49,7.46,4.72,5.63,3.47,4.51,1.71,3.19
October,,,3.37,10.95,4.86,4.6,6.11,3.8,5.52,3.84
November,,,8.14,7.88,2.28,1.55,2.92,2.76,9.1,6.79
December,,,5.88,7.97,8.94,5.76,6.84,6.47,8.79,6.32
Total,,,,70.03,44.29,45.55,56.8,47.26,47.85,53.13
,,,,,,,,,,
1953 JF+T deleted est,,,,,,,,,,
,,,,,,,,,,
Station no,5381/5,,,,,,,,,
Midas,13620,,,,,,,,,
Hyd Stn,657996,,,,,,,,,
