"LARGS (STEVENSTON INSTITUTE)",,,,,,,,,,,,
Grid ref,NS204597,Long,-4.866625,Lat,55.797115,,,,,,,
Station no,5215/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.86,5.20,3.07,5.37,2.66,3.56,5.57,5.87,1.76,,,
February,3.22,1.91,2.19,6.47,3.18,1.54,4.08,4.61,2.07,,,
March,3.55,3.48,1.14,3.44,1.69,3.04,4.80,2.47,3.10,,,
April,2.14,1.97,3.29,2.23,4.53,1.30,2.08,2.11,,,,
May,1.99,1.97,2.37,3.67,3.98,2.85,1.84,3.87,,,,
June,1.74,3.27,1.55,3.72,4.12,3.52,3.16,2.98,,,,
July,3.21,3.61,3.72,4.36,1.34,4.63,6.20,4.75,,,,
August,4.02,4.64,4.42,6.07,1.38,5.07,4.80,4.78,,,,
September,3.78,3.65,5.28,6.82,4.46,4.66,2.72,3.93,,,,
October,1.59,8.68,4.41,8.79,4.56,2.94,5.74,3.23,,,,
November,6.25,2.86,7.22,8.42,2.62,2.39,3.30,2.30,,,,
December,7.36,4.79,4.89,5.84,7.69,6.35,6.48,7.33,,,,
Total,43.71,46.03,43.55,65.20,42.21,41.85,50.77,48.23,,,,
Calc annual,43.71,46.03,43.55,65.20,42.21,41.85,50.77,48.23,6.93,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
