CARLTON-THE-CARLTON-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP954544,Long,-0.60618674,Lat,52.179614,Elevation,247,ft,,,,,,,,,,,,,
Station no,1183,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,1.4,,,,,,,,,
February,,,,,,,,,,,,1.34,,,,,,,,,
March,,,,,,,,,,,,0,,,,,,,,,
April,,,,,,,,,,,1.45,2.36,,,,,,,,,
May,,,,,,,,,,,2.85,,,,,,,,,,
June,,,,,,,,,,,0.21,0.62,,,,,,,,,
July,,,,,,,,,,,2.99,,,,,,,,,,
August,,,,,,,,,,,2.17,2.99,,,,,,,,,
September,,,,,,,,,,,3.8,,,,,,,,,,
October,,,,,,,,,,,1.86,,,,,,,,,,
November,,,,,,,,,,,3.57,2.59,,,,,,,,,
December,,,,,,,,,,3.73,2.68,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1930 Jan-Mar estimated,,,,,,,,,,,,,,,,,,,,,
