"NEWTOWN LIMAVADY DRENAGH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6247,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,4.42,4.23,2.83,3.49,1.83,5.73,4.37,1.73,,
February,,,3.86,1.08,2.79,1.16,3.69,3.82,1.48,1.01,,
March,,,2.61,2.24,2.34,1.87,5.21,3.21,2.47,2.39,,
April,,,3.41,0.71,2.45,0.64,2.25,2.55,2.29,1.54,,
May,,,2.89,2.33,1.54,1.98,0.46,2.11,4.13,3.53,,
June,,,3.61,1.21,2.06,2.20,2.38,3.58,4.56,4.83,,
July,,,1.72,5.12,3.09,2.14,2.31,6.55,0.87,5.20,,
August,,,3.57,6.75,4.15,3.00,3.82,4.87,4.85,3.30,,
September,,,6.00,3.59,4.78,3.79,3.81,2.41,4.16,3.41,,
October,,,4.58,5.23,4.34,5.40,3.74,4.60,4.66,2.21,,
November,,,4.76,2.84,4.39,5.61,2.77,5.17,4.68,1.83,,
December,,,3.31,2.15,4.31,2.24,6.55,3.92,4.15,1.86,,
Total,30.98,,44.74,37.48,39.07,33.52,38.82,48.52,42.67,32.84,,
Calc annual,0.00,0.00,44.74,37.48,39.07,33.52,38.82,48.52,42.67,32.84,,
Difference,30.98,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
