"LIMAVADY (DRENAGH)",,,,,,,,,,,,
Grid ref,IC689236,Long,-6.922498,Lat,55.055188,,,,,,,
Station no,6247,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.05,5.46,1.36,3.67,4.20,4.25,4.42,3.82,2.70,3.53,,
February,3.10,1.94,1.71,3.43,2.15,2.02,2.75,4.74,0.53,4.46,,
March,2.72,1.41,0.67,3.29,1.10,1.71,2.56,1.45,2.27,1.45,,
April,2.19,1.27,2.79,0.99,1.73,1.98,1.55,2.17,3.94,2.27,,
May,1.19,1.37,2.26,4.21,3.27,2.01,1.20,3.04,1.29,1.90,,
June,2.40,2.46,2.29,3.32,3.85,3.35,1.68,4.91,2.40,2.56,,
July,3.54,2.05,4.86,4.16,1.13,4.74,5.74,4.87,3.50,6.81,,
August,4.55,5.90,3.50,3.56,0.96,6.08,3.40,4.37,1.21,4.88,,
September,1.88,4.04,2.86,4.30,5.10,4.37,5.00,2.61,1.41,2.96,,
October,1.61,3.49,1.81,6.10,3.88,3.86,4.10,3.78,4.79,4.40,,
November,5.70,3.41,3.27,5.70,2.15,3.11,2.03,2.09,6.20,2.52,,
December,4.74,4.80,2.95,5.48,4.02,4.88,5.26,5.02,4.33,4.55,,
Total,36.67,37.60,30.33,48.21,33.54,42.36,39.69,42.87,34.57,42.29,,
Calc annual,36.67,37.60,30.33,48.21,33.54,42.36,39.69,42.87,34.57,42.29,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
