"NEWBATTLE (PUBLIC SCHOOL)",,,,,,,,,,,,
Grid ref,NT337649,Long,-3.061132,Lat,55.872684,,,,,,,
Station no,5124,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.63,2.48,0.38,2.84,2.01,1.46,2.62,1.60,0.99,2.79,,
February,2.64,0.42,0.87,1.66,1.70,1.84,1.95,-999.00,0.31,2.27,,
March,2.94,1.13,0.40,1.58,1.97,1.13,1.13,1.82,0.51,1.58,,
April,2.62,1.40,2.51,0.90,0.31,0.58,0.72,1.41,1.53,0.76,,
May,3.12,1.55,2.10,6.32,1.77,0.47,1.18,1.81,0.43,0.99,,
June,1.44,2.38,1.64,2.06,0.36,2.01,1.05,2.68,2.93,0.88,,
July,3.01,1.80,3.99,1.91,2.09,4.51,3.45,5.58,1.79,2.48,,
August,4.59,3.78,1.60,5.17,0.99,7.47,3.65,2.51,0.25,3.61,,
September,0.89,2.27,2.57,3.19,1.24,3.38,1.38,1.87,0.46,1.33,,
October,0.41,1.63,1.26,5.08,1.37,1.33,1.94,1.08,1.74,2.84,,
November,4.84,2.76,3.10,2.97,0.72,0.71,1.78,0.87,5.23,2.22,,
December,1.91,2.90,2.88,3.24,4.16,2.55,2.79,3.75,3.40,2.37,,
Total,31.04,24.50,23.30,36.92,18.69,27.44,23.64,26.95,19.57,24.12,,
Calc annual,31.04,24.50,23.30,36.92,18.69,27.44,23.64,24.98,19.57,24.12,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,1.97,0.00,0.00,,
