LLANTRISANT-LLANILID-RESERVOIR,,,,,,,,,,,,,,,,,,,,
Grid ref,SS996865,Long,-3.449977,Lat,51.568403,Elevation,582,ft,,,,,,,,,,,,
Station no,RR7464,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,5.33,4.8,4.71,7.95,8.65,1.66,8.87,2.93,3.51,2.37,4.85,2.02,9.1,12.42,4.03,6.36,,,,
February,8.43,1.6,2.28,3.74,7.96,2.91,4.69,0.95,,0.78,5.04,7.23,4.9,3.29,7.32,9.27,,,,
March,1.34,2.83,4,9.41,3.23,8.05,5.03,2.7,3.14,3.24,0.83,3.08,13.06,9.98,10.34,2.27,,,,
April,2.93,7.99,3.72,3.26,4.39,3.83,1.33,3.88,3.62,4.06,3.17,5,0.51,9.07,2.92,2.2,,,,
May,3.29,1.32,2.92,4.15,4.17,0.39,7,2.42,3.55,2.2,3.38,2.78,1.29,4.27,4.01,3.48,,,,
June,4.35,3.75,4,2.15,1.52,4.57,2.01,6.7,0.6,2.67,4.59,4.13,8.71,4.46,2.49,2.27,,,,
July,1.59,2.16,3.51,4.71,5.19,2.91,1.71,2.27,4.13,3.74,4.88,0.4,5.16,0.81,6.77,6.88,,,,
August,7.46,5.49,5.64,11.17,4.06,5.92,3.72,6.84,5.11,2.32,6.64,3.92,15.16,2.68,7.32,3.75,,,,
September,3.4,4.72,3.37,6.56,5.67,3.33,1.82,1.41,5.76,4.03,0.17,5.19,1.4,3.66,2.71,1.68,,,,
October,7.74,4.54,5.67,16.61,7.59,2.74,9.09,7.63,3.25,9.51,,5.76,7.73,6.14,2.77,4.73,,,,
November,8.6,2.42,5.34,5.8,5.01,5.34,4.59,3.46,2.63,1.41,,9.13,4.87,9.44,6.9,3.58,,,,
December,11.13,7.6,6.52,6.46,4.31,3.51,3.08,7.73,4.88,7.34,7.09,14.64,11.06,4.64,9.57,8.49,,,,
Total,65.59,49.22,51.68,81.97,61.75,45.16,52.94,48.92,,43.67,,63.28,82.95,70.86,67.15,54.96,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1908 Feb estimated,,,,,,,,,,,,,,,,,,,,
