"LLANTRISANT, LLANILID RESERVOIR",,,,,,,,,,,,
Grid ref,SS996865,Long,-3.449977,Lat,51.568403,,,,,,,
Station no,RR7464,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.33,4.80,4.71,7.95,8.65,1.66,8.87,2.93,3.51,2.37,,
February,8.43,1.60,2.28,3.74,7.96,2.91,4.69,0.95,3.00,0.78,,
March,1.34,2.83,4.00,9.41,3.23,8.05,5.03,2.70,3.14,3.24,,
April,2.93,7.99,3.72,3.26,4.39,3.83,1.33,3.88,3.62,4.06,,
May,3.29,1.32,2.92,4.15,4.17,0.39,7.00,2.42,3.55,2.20,,
June,4.35,3.75,4.00,2.15,1.52,4.57,2.01,6.70,0.60,2.67,,
July,1.59,2.16,3.51,4.71,5.19,2.91,1.71,2.27,4.13,3.74,,
August,7.46,5.49,5.64,11.17,4.06,5.92,3.72,6.84,5.11,2.32,,
September,3.40,4.72,3.37,6.56,5.67,3.33,1.82,1.41,5.76,4.03,,
October,7.74,4.54,5.67,16.61,7.59,2.74,9.09,7.63,3.25,9.51,,
November,8.60,2.42,5.34,5.80,5.01,5.34,4.59,3.46,2.63,1.41,,
December,11.13,7.60,6.52,6.46,4.31,3.51,3.08,7.73,4.88,7.34,,
Total,65.59,49.22,51.68,81.97,61.75,45.16,52.94,48.92,43.18,43.67,,
Calc annual,65.59,49.22,51.68,81.97,61.75,45.16,52.94,48.92,43.18,43.67,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
