HUNCOAT BURNLEY ROAD RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD774296,Long,-2.343542,Lat,53.762709,Elevation,640,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.34,1.5,6.65,3.94,0.77,0.32,0.03,2.18,6.13,5.79,2.23,6.57,2.2,1.81,2.33,5.66,2.66,3.62,1.89,4.31,2.23,2.04,0.99,3.93,7.02,5.25,2.6,3.74,3.47,4.27,1.91,5.76,1.9,4.47,2.98,4.18,2.27,3.55,5.39,4.16,7.49,5.09,4.34,2.2,3.69,4.56,9.64,3.45,5.76,3.64,4.56,6.2,6.19,12.81,1.69,7.13,6.93,6.1,4.03,4.35,2.55,4.91,4.48,5.78,4.5,2.87,1.28,4.71,6.35,6.75,3.18,4.41,3.32,9.23,2.32,3.37,4.86,5.82,1.45,4.67,2.22,4.56,3.96,5.29,2.94,,,
February,,,,,,1.41,4.83,5,1.71,2.84,3.75,5.19,3.11,3.91,3.74,3.98,0.59,1.28,0.77,2.25,0.7,0.53,3.02,5.58,5.64,0.27,1.76,2.34,3.69,2.45,3.23,1.37,1.27,4.29,3.39,2.8,3.73,2.41,4.55,4.6,5.47,5.17,1.77,2.53,4.69,7.34,4.7,0.93,6.21,0.23,5.02,0.44,4.94,6.66,0.72,8.57,5,2.23,5.85,1.01,0.4,5.31,0.09,3.24,0.39,6.75,2.06,5.4,1.89,4.95,1.71,4.81,1.12,3.29,2.14,5.38,5.13,0.56,2.85,3.37,5.53,4.32,1.48,1.59,2.98,2.64,1.15,4.02,7.26,0.58,,,
March,,,,,,0.93,4.15,3.49,2.27,1.8,2.86,4.47,3.84,1.2,3.44,3.37,2.78,2.04,2.88,2.94,4.34,1.9,0.6,1.44,3.54,4.27,7.17,5.26,2.69,2.81,0.37,3.83,2.14,6.19,2.02,3.33,3.39,4.33,3.89,2,1.42,2.37,7.29,6.44,7.29,1.9,1.64,3.1,1.53,5.9,5.32,4.18,3.28,2.14,1.13,1.79,3.09,5.08,3.48,1.32,2.52,0.54,3.33,2.41,2.46,1.25,2.62,1.48,1.87,2.58,3.59,3.31,3.31,1.01,0.65,1.66,0.97,5.51,2.55,1.78,2.61,5.31,1.79,2.12,2.33,2.32,1.59,3.65,2.52,2.15,,,
April,,,,,,1.49,2.59,2.83,2.16,1.75,1.58,1.57,5.44,1.9,1.04,2.43,2.79,2.85,1.92,2.22,1.32,2.03,1.61,0.73,1.93,2.44,2.11,2.89,1.91,4.31,2.92,3,3.03,1.88,3.18,3.18,1.69,2.1,2.22,4.7,4.2,3.03,1.43,7.9,2.06,3.1,4.24,1.71,0.87,2.94,6.52,2.07,3.13,5.21,2.03,2.76,1.95,4.1,1.15,1.31,2.78,3.98,3.95,1.73,2.23,3.06,0.76,3.28,1.02,2.11,4.2,1.58,2.75,3.02,2.27,2.75,1.24,4.11,2.34,4.33,3.46,2.56,3.44,4.09,0.93,3.01,3.09,0.57,1.37,3.49,,,
May,,,,,,2.97,0.66,3.43,4.72,2.01,2.75,4.68,2.38,1.71,1.94,2.18,3.95,2.34,1.2,3.53,2.56,2.93,4.55,2.76,3.05,1.49,0.76,2.31,3.21,2.97,1.85,0.96,4.32,3.27,2.51,0.67,4.11,4.34,3.46,2.35,3.5,3.98,2.65,5.06,3.02,1.64,2.79,2.09,3.37,2.21,6.71,2.77,2.07,4.18,6.25,5.17,3.44,1.5,1.62,3.8,2.44,2.4,4.58,2.1,3.85,1,1.07,1.88,3.58,1.47,1.52,2.9,3.41,3.03,3.06,3.59,1.52,2.59,2.4,3.16,2.08,1.9,2.85,2.24,2.97,3.98,1.79,1.79,5.41,1.71,,,
June,,,,,,4.31,4.85,2.91,3.37,5.15,3.66,2.57,6.99,4.04,0.92,3.48,2.23,0.62,2.2,1.94,4.26,1.18,3.49,2.65,3.18,3.13,2.91,3.58,4.25,1.18,2.07,2,1.53,1.35,1.55,2.69,1.65,7.22,2.32,3.03,2.74,6.15,7.12,3.28,2.88,1.31,2.91,3.05,2.49,1.68,2.67,0.75,3.44,1.35,2.93,0,2.7,5.38,7.19,1.49,3.84,6.04,1.33,2.15,2.55,3.54,3.6,3.33,4.65,3.63,1.01,0.22,3.12,4.13,2.49,6.17,2.3,3.09,6.44,1.05,2.42,1.68,3.59,2.36,2.96,3.22,2.89,2.3,4.63,3.15,,,
July,,,,,,5.71,3.36,5.6,1.01,6.36,4.83,6.04,6.6,4.67,5.33,2.22,4.66,2.35,6.87,3.29,3.49,3.54,2.11,4.92,4.89,5.73,2.75,2.4,1.32,2.33,1.97,1.46,3.94,4.24,1.86,3.41,2.37,2.5,5.15,7.19,4.53,0.7,4.88,1.63,6.91,5.67,3.93,2.55,3.63,2.73,6.99,2.41,5.93,5.22,3.59,2.22,2.7,5.77,2.48,3.62,5.97,4.29,5.17,2.73,2.64,1.78,4.16,1.96,4.39,6.86,4.97,2.21,6.92,2.84,3.49,3.34,3.81,3.15,2.02,2.11,4.16,3.76,2.47,5.23,5.71,0.95,5.35,5.54,4.12,3.95,,,
August,,,,,,2.89,3.74,6.7,6.59,6.93,2,5.88,5.17,3.24,2.12,2.44,2.07,1.97,4.34,6.12,5.92,8.62,6.38,2.93,4.96,4.66,2.69,5.76,5.42,1.39,4.61,2.28,2.7,5.59,4.39,3.43,3.02,4.61,4.03,4.25,7.07,2.76,9.47,2.84,3.66,4.75,3.63,6.28,4.49,5.84,2.7,7.06,6.11,7.04,7.34,4.65,4.92,6.42,9.52,4.51,8.99,5.36,1.47,2.8,4.57,1.6,2.92,2.54,3.17,2.16,3.16,5.83,4.71,6.98,3.69,2.74,7.32,0.16,4.11,2.93,7.69,5.34,6.87,5.3,6.71,0.95,11.78,7.52,4.24,0.67,,,
September,,,,,,5.11,5.42,4.58,4.86,2.63,3.74,1.78,1.89,6.5,2.97,5.28,4.17,5.34,1.18,4.6,3.69,3.89,4.18,6.36,0.59,1.67,7.96,4.35,1.37,8.19,2.34,0.99,1.61,4.88,1.47,3.3,1.62,0.89,3.76,2.96,0.69,4.88,2.49,1.73,4.02,1.13,3.42,3.67,15.41,3.07,3.1,2.39,3.46,7.01,4.96,4.06,5.2,9.3,1.04,2.41,3.95,4.2,7.64,1.69,3.37,8,5.76,1.5,1.68,1.4,4.59,1.75,3.58,4.12,6.12,2.65,7.08,3.56,3.05,1.9,7.1,2.96,4.25,5.26,6.13,3.46,3.67,6.4,4.79,0.39,,,
October,,,,,,4.37,2.25,5.74,5.48,2.82,2.03,2.72,3.82,5.34,3.34,6.28,5.92,2.44,2.5,3.89,3.6,5.88,5.06,5.35,3.83,4.6,4.53,2.43,3.18,2.76,5.91,4.21,3.87,9.78,2.09,3.99,6.28,3.9,1.7,6.2,3.64,3.48,5.55,2.04,2.63,1.58,12.62,12.03,4.62,2.74,1.42,3.75,0.82,6.77,4.79,6.29,3.83,4.06,5.77,7.43,7.2,3.15,8.22,5.52,6.21,10.3,4.94,2.21,10.89,1.65,4.71,5.63,8.72,3.92,5.64,6.84,1.2,0.96,2.81,5.53,3.56,1.13,4.65,2.37,8.17,3.61,2.66,5.45,4.82,5.48,,,
