"HUNCOAT BURNLEY ROAD RESERVOIR",,,,,,,,,,,,
Grid ref,SD772295,Long,-2.347323,Lat,53.761350,,,,,,,
Station no,2962,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.25,2.60,3.74,3.47,4.27,1.91,5.76,1.90,4.47,2.98,,
February,3.23,1.37,1.27,4.29,3.39,2.80,3.73,2.41,4.55,4.60,,
March,0.37,3.83,2.14,6.19,2.02,3.33,3.39,4.33,3.89,2.00,,
April,2.92,3.00,3.03,1.88,3.18,3.18,1.69,2.10,2.22,4.70,,
May,1.85,0.96,4.32,3.27,2.51,0.67,4.11,4.34,3.46,2.35,,
June,2.07,2.00,1.53,1.35,1.55,2.69,1.65,7.22,2.32,3.03,,
July,1.97,1.46,3.94,4.24,1.86,3.41,2.37,2.50,5.15,7.19,,
August,4.61,2.28,2.70,5.59,4.39,3.43,3.02,4.61,4.03,4.25,,
September,2.34,0.99,1.61,4.88,1.47,3.30,1.62,0.89,3.76,2.96,,
October,5.91,4.21,3.87,9.78,2.09,3.99,6.28,3.90,1.70,6.20,,
November,3.03,6.11,1.86,2.76,4.14,5.15,4.84,2.51,4.27,2.22,,
December,4.44,4.41,3.11,2.50,3.06,0.99,4.01,5.03,2.67,5.33,,
Total,37.99,33.22,33.12,50.20,33.93,34.85,42.47,41.74,42.49,47.81,,
Calc annual,37.99,33.22,33.12,50.20,33.93,34.85,42.47,41.74,42.49,47.81,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
