BARRA ISLE CASTLE BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NL664983,Long,-7.489832,Lat,56.955181,Elevation,38,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,3.96,3.32,2.89,2.69,3.54,5,2.15,3.95,3.07,2.69,2.76,4.04,4.13,5.47,4.15,3.27,2.33,2.77,4.26,4.91,,,
February,,,,,,,,,2.53,1.95,5.51,3.14,4.09,2.1,5.05,3.34,4.1,1.4,3.03,1.63,3.19,1.17,4.22,2.36,1.87,2.46,2.62,1.72,,,
March,,,,,,,,,3.58,2.26,1.58,1.1,3.44,3.61,3.42,2.91,0.91,1.76,1.09,4.4,3.09,4.03,1.31,1.28,0.87,1.64,1.5,2.6,,,
April,,,,,,,,,2.1,3.36,4.33,3.39,2.05,3.26,2.48,2.56,2.8,1.77,0.9,1.71,0.98,1.42,3.65,2.64,1.87,2.67,1.42,3.31,,,
May,,,,,,,,,2.6,2.96,1.78,1.82,2.31,3.25,1.36,1.38,4.29,3.32,1.14,1.29,3.76,3.21,2.63,1.97,3,2.75,1.83,1.4,,,
June,,,,,,,,,2.57,0.97,2.27,1.75,3.49,2.59,1.25,1.15,2.01,1.71,1.77,2.72,1.33,1.05,2.18,1.18,1.83,0.35,1.2,3.25,,,
July,,,,,,,,,2.96,2.75,3.14,3.64,2.45,1.55,3.24,2.48,2.65,0.87,3.38,1.2,2.44,2.02,2.01,2.24,2.59,2.72,1.87,3.58,,,
August,,,,,,,,6.47,3.36,2.1,6.74,2.7,3.63,1.94,4,2.58,2.68,3.16,3.93,3.78,1.97,4.07,2.3,3.6,3.58,1.47,3.04,,,,
September,,,,,,,,1.19,5.83,2.22,1.45,2.95,2.93,1.95,3.05,2.29,1.61,2.39,3.02,2.86,3.01,1.44,2.18,4.33,2.09,2.83,3.43,,,,
October,,,,,,,,2.68,2.26,4.9,2.17,3.1,5.65,5.49,2.67,2.45,4.1,6.85,3.13,2.19,3.78,4.92,2.36,4.34,3.22,2.29,5.74,,,,
November,,,,,,,,4.4,3.4,2.27,6.34,3.45,3.67,4.5,3.53,3.58,5.22,4.27,3.2,4.08,3.53,2.9,2.17,3.54,2.56,3.06,4.44,,,,
December,,,,,,,,4.13,6.46,5.18,3.76,6.2,5.97,2.93,5.63,7.25,4.67,2.46,3.98,4.57,3.72,3.34,2.6,3.83,2.88,2.59,1.66,,,,
Total,,,,,,,,,41.61,34.24,41.96,35.93,43.22,38.17,37.83,35.92,38.11,32.65,31.33,34.47,34.93,35.04,31.76,34.58,28.69,27.6,33.01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Gauge moved 2.3 miles to Skallary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2 mil difference with Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
