WIDNES (WADE DEACON GRAMMAR SCHOOL),,,,,,,,,,
Grid ref,SJ511867,Long,-2.7364808,Lat,53.374881,Elevation,100,ft,,
Station no,2812/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,1.49,,,,,,,
February,,0.17,2.97,,,,,,,
March,,1.75,,,,,,,,
April,,2.71,,,,,,,,
May,,4.34,1.36,,,,,,,
June,,0.25,,,,,,,,
July,,3.25,1.65,,,,,,,
August,,,,,,,,,,
September,,,0.68,,,,,,,
October,,,4,,,,,,,
November,,2.59,1.3,,,,,,,
December,,2.14,0.49,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
"1933 March, April, June and August plus total estimated",,,,,,,,,,
