"STEEPLE ASTON HILL HOUSE",,,,,,,,,,,,
Grid ref,SP468262,Long,-1.320736,Lat,51.932351,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.43,,0.71,2.77,,1.13,4.70,1.02,1.46,,,
February,5.16,,1.79,1.16,,0.79,2.05,1.56,0.94,,,
March,0.62,,1.83,3.83,,3.23,1.41,1.13,2.83,,,
April,0.79,,1.56,2.53,,2.05,0.62,2.77,4.43,,,
May,1.92,,2.18,6.10,,0.95,2.00,2.88,2.03,,,
June,2.19,,1.66,4.77,,3.44,3.20,2.71,2.13,,,
July,1.93,,1.37,3.45,,0.50,1.09,2.23,1.97,,,
August,4.17,,2.90,3.73,,4.13,0.93,2.66,3.52,,,
September,0.63,,1.68,2.44,,1.05,1.06,0.76,1.55,,,
October,2.21,,1.89,7.61,,1.37,5.32,5.79,1.04,,,
November,2.25,,2.25,1.62,,3.35,3.32,2.06,1.12,,,
December,3.75,,2.12,1.43,,1.08,2.13,4.06,2.10,,,
Total,29.05,,21.94,41.44,,23.07,27.83,29.63,25.12,,,
Calc annual,29.05,0.00,21.94,41.44,0.00,23.07,27.83,29.63,25.12,0.00,,
Difference,0.00,NaN,0.00,0.00,NaN,0.00,0.00,0.00,-0.00,NaN,,
