SUTTON-SCOTNEY-WEST-STOKE-FARM,,,,,,,,,,
Grid ref,SU477372,Long,-1.31841,Lat,51.13262,Elevation,275,ft,,
Station no,660/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.3,2.36,3.87,3.81,4.13
February,,,,,,0.18,3.49,2.07,0,2.81
March,,,,,,1.14,1.75,2.05,3.87,1.39
April,,,,,,1.22,,0.99,3.41,1.46
May,,,,,,0.68,1.65,2.25,0.78,0.84
June,,,,,,1.84,1.54,3.39,1.14,2.96
July,,,,,,4.78,4.85,2.05,2.86,4.3
August,,,,,,3.45,4.16,3.43,2.37,2.83
September,,,,,,3.79,3.11,5.3,0,4.26
October,,,,,,2.44,2.56,2.53,2.91,9.96
November,,,,,,0.72,2.96,2.65,3.53,4.87
December,,,,,,5.01,3.42,3.95,7.09,3.94
Total,,,,,,29.55,,34.53,31.77,43.75
,,,,,,,,,,
1957 Apr Marked as estimated,,,,,,,,,,
1959 Feb Sept have dash replaced by 0.00 on sheet,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as West Stoke Farm SRC_ID 7628,,,,,,,,,,
1956-1986,,,,,,,,,,
