"BIRMINGHAM (STECHFORD)",,,,,,,,,,,,
Grid ref,SP135886,Long,-1.802585,Lat,52.495144,,,,,,,
Station no,2481/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.74,2.50,0.90,0.94,2.05,3.50,1.05,2.37,3.24,5.93,,
February,2.68,0.49,1.10,2.57,1.75,0.39,2.65,4.03,0.23,2.38,,
March,4.31,2.04,1.65,2.42,3.17,0.94,2.13,1.89,1.87,1.83,,
April,2.49,2.65,2.48,0.62,1.14,1.15,0.19,0.82,3.41,1.09,,
May,3.28,2.61,1.98,2.50,4.60,0.61,1.79,2.09,0.73,0.99,,
June,1.19,1.64,1.93,3.34,2.63,2.21,0.95,4.94,0.85,2.64,,
July,0.95,0.53,3.29,3.45,0.76,4.13,3.81,3.64,1.49,3.48,,
August,4.76,3.57,2.20,3.99,0.59,4.24,3.97,3.21,1.61,3.30,,
September,2.26,1.57,2.35,1.70,1.45,2.51,4.45,3.53,0.17,4.92,,
October,0.69,3.86,2.31,3.64,1.41,1.13,1.24,2.44,2.58,5.56,,
November,6.21,1.98,1.23,5.66,2.09,0.68,1.94,1.86,3.93,3.55,,
December,2.48,2.51,1.23,1.93,1.97,3.17,2.34,3.11,4.41,3.51,,
Total,34.04,25.95,22.65,32.76,23.61,24.66,26.51,33.93,24.52,39.18,,
Calc annual,34.04,25.95,22.65,32.76,23.61,24.66,26.51,33.93,24.52,39.18,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
