BIRMINGHAM (STETCHFORD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP135886,Long,-1.802585,Lat,52.495144,Elevation,302,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2481/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.71,2.48,0.87,3.25,3.74,2.66,4.74,2.44,3.13,2.88,4.71,2.84,1.7,2.12,1.79,4.53,1.41,0.73,2.74,2.5,0.9,0.94,2.05,3.5,1.05,2.37,3.24,5.93
February,,,2.49,0.26,2.41,2.72,3.49,0.71,1.14,2.47,2.52,1.04,1.48,1.58,2.25,2.77,1.88,1.42,0.71,4.52,2.68,0.49,1.1,2.57,1.75,0.39,2.65,4.03,0.23,2.38
March,,,3.61,1.52,0.66,1.94,2.39,0.37,1.45,1.54,2.55,1.85,1.08,0.21,0.75,0.8,5.75,1.27,1.49,1.26,4.31,2.04,1.65,2.42,3.17,0.94,2.13,1.89,1.87,1.83
April,,,0.76,2.21,3.31,2.1,2.65,0.11,1.65,3.87,1.6,1.68,0.87,2.12,0.85,2.47,2.41,1.5,2.41,1.98,2.49,2.65,2.48,0.62,1.14,1.15,0.19,0.82,3.41,1.09
May,,,1.7,0.82,1.24,1.06,2.42,2.02,1.13,2.94,3.27,3.21,3.41,0.5,3.03,2.67,2.71,2.15,2.85,1.57,3.28,2.61,1.98,2.5,4.6,0.61,1.79,2.09,0.73,0.99
June,,,2.49,0.8,2.72,4,1.09,1.85,1.92,0.63,0.84,0.27,1.83,1.35,2.72,3.63,1.62,2.78,0.32,2.5,1.19,1.64,1.93,3.34,2.63,2.21,0.95,4.94,0.85,2.64
July,,,1.96,1.96,0.43,6.04,2.3,2.87,4.48,2.11,3.82,1.9,0.63,2.29,2.42,1.44,3.4,1.67,3.52,2.58,0.95,0.53,3.29,3.45,0.76,4.13,3.81,3.64,1.49,3.48
August,,,0.95,2.1,2.01,0.82,0.8,4.78,3.88,0.21,4.15,3.52,1.51,2.15,2.19,5.34,0.42,3.73,1.76,3.32,4.76,3.57,2.2,3.99,0.59,4.24,3.97,3.21,1.61,3.3
September,,,0.64,1.97,3.07,3.03,1.72,2.27,0.78,0.75,0.57,1.4,1.52,2.62,1.35,3.64,1.3,2.63,1.29,3.76,2.26,1.57,2.35,1.7,1.45,2.51,4.45,3.53,0.17,4.92
October,,,3.33,1.52,2.97,1.51,2.51,2.29,3.74,3.98,2.59,2.61,2.08,2.76,3.64,0.56,0.44,2.69,5.57,0.64,0.69,3.86,2.31,3.64,1.41,1.13,1.24,2.44,2.58,5.56
November,,,0.89,2.14,4.52,2.26,1.86,2.89,3.83,6.36,2.97,1.43,1.45,4.2,0.3,5.82,1.76,1.27,3.32,4.18,6.21,1.98,1.23,5.66,2.09,0.68,1.94,1.86,3.93,3.55
December,,,0.32,4.01,3.47,2.31,2.36,3.56,1.51,1.76,1.4,2.53,1,1.68,3.05,2.57,1.96,4.66,1.67,1.49,2.48,2.51,1.23,1.93,1.97,3.17,2.34,3.11,4.41,3.51
Total,,,20.85,21.79,27.68,31.04,27.33,26.38,30.25,29.06,29.41,24.32,21.57,24.3,24.25,33.83,25.44,30.3,26.32,28.53,34.04,25.95,22.65,32.76,23.61,24.66,26.51,33.93,24.52,39.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,STECHFORD ,01/01/1933,31/12/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,
