MAWGAN-PORTH-TRENANCE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW852680,Long,-5.02753,Lat,50.4724,Elevation,250,ft,,,,,,,,,,,,,
Station no,1885/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.41,4.89,2.4,3.04,2.5,2.65,1.38,,,,,
February,,,,,,,,,,2.01,2.93,3.59,0.02,2.86,0.21,3.25,,,,,
March,,,,,,,,,,0.38,2.84,3.01,1.67,3.08,2.68,0.98,,,,,
April,,,,,,,,,,0.69,2.64,1.52,2.18,1.61,2.73,3.46,,,,,
May,,,,,,,,,,3.06,1.35,1.88,3.05,1.86,1.99,1.78,,,,,
June,,,,,,,,,,1.76,0.61,2.26,1.52,2.78,0.92,2.97,,,,,
July,,,,,,,,,,1.72,2.04,7.41,3.36,3.51,0.52,0.47,,,,,
August,,,,,,,,,,2.62,3.53,3.04,1.43,1.8,3.92,3.62,,,,,
September,,,,,,,,,,0.09,3.58,2.44,4.02,1.88,2.75,3.48,,,,,
October,,,,,,,,,,5.4,4,1.06,8.41,6.08,2.7,5.61,,,,,
November,,,,,,,,,2.99,8.2,4.99,5.06,2.56,1.23,2.08,5.66,,,,,
December,,,,,,,,,4.56,5.68,3.1,1.51,3.18,1.59,7.66,4.46,,,,,
Total,,,,,,,,,,33.02,36.5,35.18,34.44,30.78,30.81,37.12,,,,,
,,,,,,,,,,,,,,,,,,,,,
1931 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1932 May 28 Gauge moved 75ft S to open site,,,,,,,,,,,,,,,,,,,,,
1937 May Owing to retirement of director observations discontinued,,,,,,,,,,,,,,,,,,,,,
