ESKDALEMUIR (MONKINGSHAW KNOWE),,,,,,,,,,,,,,,,,,,,
Grid ref,NY217996,Long,-3.234313,Lat,55.284279,Elevation,1054,ft,,,,,,,,,,,,
Station no,5040/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.53,8.61,6.31,8.54,8.08,5.12,8.39,,3.36,5.45,5.97,4.58,11.25,6.22,4.09,8.38
February,,,,,9.19,3.83,0.5,6.17,7.04,6.2,4.72,,2.53,4.75,2.5,1.57,4.7,5.43,3.21,9.43
March,,,,,5.92,5.83,5.5,5.75,2.99,7.23,4.65,4.75,1.2,4.88,3.1,2.88,6.29,2.47,5.02,2.42
April,,,,,2.89,2.4,11.2,4.1,7.75,7.15,6.08,4.32,4.28,1.75,3.07,1.08,3.75,2.74,5.36,7.71
May,,,,,7.14,1.31,3.3,2.76,3.32,2.36,1.6,2.86,3.41,5.27,4.52,3.91,2.33,4.64,1.84,3.5
June,,,,,5.51,7.94,5.69,8.33,1.58,6.99,3.1,5.44,2.32,7.75,3.84,3.17,1.97,3.59,4.3,4
July,,,,,4.81,4.79,5.47,4.48,3.37,7.51,5.39,3.6,12.25,6.36,3.17,7.78,5.01,7.73,6.01,5.98
August,,,,,2.27,5.9,0.03,10.35,4.28,8.95,8.06,5.2,6.31,6.79,1.86,8.02,7.15,5.79,1.31,5.62
September,,,,,7.59,10.9,5.85,8.42,2.97,14.12,7.73,2.75,6.63,10.36,5.37,5.13,5.17,6.15,2.27,4.69
October,,,,,6.96,1.03,1.94,7.52,7.27,5.79,0.65,5.42,4.37,14,3.48,5.41,8.98,5.48,6.92,3.37
November,,,,,0.61,12.06,10.2,5.98,7.2,4.9,11.75,,9.3,11.65,2.39,3,2.18,2.37,12.19,9.2
December,,,,7.32,3.65,7.2,3.12,9.33,12.66,2.4,7.5,,4.94,8.97,8.08,8.8,6.19,5.59,10.6,6.59
Total,,,,,62.07,71.8,59.11,81.73,68.51,78.72,69.62,,60.9,87.98,47.35,55.33,64.97,58.2,63.12,70.89
,,,,,,,,,,,,,,,,,,,,
"1952 Jan 8, Feb 2.2, Nov 4.24, Dec 5.72, tot 54.50 all estimated therefore removed",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
13113,MONKINGSHAW KNOWE ,NY2178999601,01/01/1944,31/12/1962,,,,,,,,,,,,,,,,
