DUMFRIES IVY BANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX975763,Long,-3.6067287,Lat,55.070545,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,4.58,3.34,2.89,2.44,5.32,2.8,2.55,1.54,4.97,2.22,2.04,1.39,2.22,5.27,3.89,2.47,2.16,5.44,3.32,1.77,3.82,1.79,4.11,4.59
February,,,,,,,2.03,1.97,0.6,1.82,0.86,0.23,1.78,4.54,8.15,0.81,2.32,2.93,3.45,3.35,4.07,0.89,2.25,4.88,2.54,1.94,2.27,2.89,2.9,1.57
March,,,,,,,4.13,1.58,2.23,2.42,2.19,1.97,0.75,1.52,1.73,2.77,4.02,5.51,0.79,4.59,0.25,1.86,2.09,7.46,2.57,4.06,2.53,3.38,4.66,4.36
April,,,,,,,1.79,1.66,1.67,2.32,1.27,1.82,0.69,1.16,2,2.4,1.5,3.08,3.55,3.25,2.77,3.23,2.18,1.71,2.88,3.46,0.87,2.35,1.75,3.58
May,,,,,,,3.81,0.98,2.78,3.46,3.14,2.34,4.15,2.46,3.92,0.21,0.5,1.95,2.35,3.44,3.21,2.37,2.02,2.63,2.08,2.01,5.73,4.48,3.39,2.18
June,,,,,,,0.77,0.56,1.74,1.88,3.68,1.59,3.32,1.56,3.13,1.33,3.28,2.86,1.84,2.54,4.27,3.08,1.68,1.71,2.03,1.82,1.37,6.11,2.53,3.26
July,,,,,,,3.64,4.01,6.22,4.79,3.53,1.61,2.72,3.09,2.62,6.28,4.36,1.56,0.23,2.17,3.28,1.88,2.55,3.96,2.68,2.43,2.17,1.83,3.03,3.83
August,,,,,,,1.91,2.62,3.29,4.29,3.57,7.17,6.8,3.99,2.94,5.73,1.56,5.75,4.47,1.69,6.3,3.78,2.91,4.35,3.85,3.05,6.73,4.04,3.91,1.61
September,,,,,,,5.79,4,0.97,1.69,2.86,4.51,3.81,1.83,0.18,0.56,4.89,3.43,2.28,3.1,3.11,2.82,2.29,3.39,2.02,1.86,0.72,0.61,3.58,2.01
October,,,,,,,4.17,1.34,2.8,5.16,1.5,8.37,3.7,3.63,3.64,3.42,3.47,2.36,3.25,2.72,4.82,4.78,2.64,8.55,1.89,2.62,4.1,7.53,1.88,7.66
November,,,,,,,3.58,3.62,6.52,1.8,8.23,4.27,3.37,1.52,4.7,5.41,1.12,3.6,4.25,5.55,4.09,2.89,3.59,3.06,2.55,3.86,2.76,3.05,2.27,1.28
December,,,,,,,4.43,5.31,4.2,3.1,0.97,6.24,1.97,5.55,4.03,3.89,4.87,8.39,5.03,3.19,7.07,4.43,4.14,3.31,2.84,1.83,3.17,5.05,3.21,5.24
Total,,,,,,,40.63,30.99,35.91,35.17,37.12,42.92,35.61,32.39,42.01,35.03,33.93,42.81,33.71,40.86,47.13,34.48,30.5,50.45,31.25,30.71,36.24,43.11,37.22,41.17
