UPTON-PYNE-THE-PARSONAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX909976,Long,-3.54799,Lat,50.76808,Elevation,213,ft,,,,,,,,,,,,
Station no,RR6410,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.84,4.18,1.58,5.9,1.02,0.95,1.59,4.6,0.9,4.21,6.58,0.93,,0.98,1.25,4.18,
February,,,,2.26,6.75,1.28,3.44,1.59,1.66,0.45,4.27,1.2,2.95,0.77,3.82,,6.66,1.23,1.65,
March,,,,3.37,2.14,4.21,1.67,0.65,3.58,6.1,0.79,2.23,6.02,3.69,5.2,,4.43,4.69,1.41,
April,,,,2.28,1.43,2.64,0.99,5.27,2.6,2.76,3.25,2.1,0.23,3.59,1.48,,0.83,1.54,2.14,
May,,,,3.42,2.48,0.71,2.53,2.75,1.92,1.2,2.99,0.59,1.96,3.28,1.46,,2.21,1.89,1.05,
June,,,,2.58,0.86,2.53,1.57,2.52,0.77,2.96,2.17,2.26,6.38,0.67,1.79,,1.66,3.59,0.82,
July,,,,3.92,5.44,0.49,0.74,1.22,1.36,2.53,2.47,0.32,2.46,0.58,3.62,,1.25,2.95,3.91,
August,,,,3.34,2.84,4.33,0.89,1.83,3,2.06,3.96,1.9,6.67,1.36,2.73,,4.91,5.83,2.39,
September,,,,4.41,2.27,1.37,1.02,0.65,2.08,1.85,0.32,1.3,1.23,1.75,2.37,,2.84,1.56,6.47,
October,,,,8.08,1.57,1.39,4.4,7.31,2.43,4.9,5.54,3.91,4.65,5.05,3.3,,5.8,4.87,1.74,
November,,,,1.95,2.09,5.4,3.26,3.04,1.39,0.73,5.4,3.73,1.77,3.39,2.98,,5.83,1.8,3.18,
December,,,,4.45,3.27,0.96,2.25,4.54,2.98,5.46,6.13,10.29,4.01,2.26,7.72,,3.31,0.98,4.33,
Total,,,,42.9,35.32,26.89,28.66,32.39,24.72,32.59,41.89,30.73,42.54,32.97,37.4,36.65,40.71,32.18,33.27,
,,,,,,,,,,,,,,,,,,,,
1915 Total only,,,,,,,,,,,,,,,,,,,,
