SIDMOUTH-SIDMOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY122880,Long,-3.2429,Lat,50.6851,Elevation,149,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,1.27,3.15,4.96,4.56,3.06,5.33,1,5.49,2.14,4.48,0.63,2.77,1.26,2.82,3.69,2.7,5.88,3.22,1.57,0.46,4.21,2.31,1.72,2.87,4.31,3.68,0.87,2.58,1.07,4.82,5.32,3.09,1,2.97,3.65,1.17,5.15,0.94,0.83,1.62,3.93,0.92,3.94,8.69,0.71,3.28,0.91,1.18,4.1,5.64,4.35,2.77,4.39,1.92,4.27,4.71,3.83,3.48,4.67,2.04,6.21,2.3,2.83,2.2,2.38,,,,,,
February,1.84,2.36,3.33,3.38,3.31,2.26,3.42,1.22,1.75,5.51,3.92,4.92,2.02,4.81,4.38,3.9,1.13,0.35,0.87,2.44,1.19,0.03,1.95,4.16,1.88,0.05,0.55,3.96,2.24,3.58,4.42,1.12,1.11,1.48,5.67,0.96,3.16,1.38,1.64,0.38,4.45,1.65,3.47,1.34,4.55,6.39,6.35,1.17,1.51,4.7,0.49,0.38,2.6,5.9,1.11,3.93,2.33,2.79,2.81,2.29,1.46,2.4,0.07,4.32,0.13,,,,,,
March,2.16,1.3,2.9,3.37,0.55,0.98,3.67,2.48,1.74,0.42,1.96,3.56,1,1.19,3.36,1.22,3.88,1.25,3.38,2.4,1.41,3.61,0.91,0.31,1.51,2.47,3.41,4.67,1.78,0.34,1.72,2.91,2.31,3.05,1.84,4.64,1.37,0.68,3.08,4.99,0.71,2.51,4.62,3.53,5.42,0.92,3.12,3.3,1.6,4.65,3.09,1.65,3.12,1.44,1.2,0.41,0.64,4.19,3.07,0.24,2.52,1.48,2.57,3.18,2.6,,,,,,
April,0.35,5.15,2.08,1.01,2,1.04,2.72,5.74,5.69,3.64,2.12,0.9,5.05,1.08,2.48,3.28,2.31,1.03,2.06,2.48,4.02,1.3,1.46,0.3,2.39,1.95,0.44,3.62,1.44,2.8,1.49,3.16,1.38,2.3,1.37,2.91,1.02,4.84,2.85,2.07,2.2,1.76,0.19,4.08,1.45,0.95,0.57,1.66,1.71,1.83,4.14,0.88,2.91,2.56,2.78,3.09,2.15,1.98,1.49,0.64,3.98,3.38,2.55,1.91,2.86,,,,,,
May,1.42,0.45,1.5,1.36,1.43,2.82,0.2,2.69,3.81,2.2,1.27,0.89,1.43,1.56,1.18,3.06,3.09,1.78,1.42,2.74,2.49,2.79,0.78,0.97,2.85,0.53,0.03,1.43,3.64,1.55,1.64,1.17,2.09,3.43,3.22,0.66,2.88,2.35,2.15,1.35,3.28,0.89,2.03,3.52,1.77,1.97,2.54,2.15,1.61,0.8,1.56,1.82,0.64,1.5,4.37,4.65,1,0.76,1.32,2.48,2.19,2.95,4.12,2.24,,,,,,,
June,0.65,1.88,3.56,1.04,2.26,2.77,1.08,1.14,2.07,6.86,1.87,3.67,4.1,2.58,2.9,1.56,0.71,0.09,3.11,0.41,3.26,2.14,2.05,0.76,2.04,1.52,1.82,2.48,1.09,1.22,2.78,2.46,3.47,2.13,1.02,2.36,2.37,2.14,0.69,2.94,2.01,2.19,5.25,0.46,1.73,2.04,1.78,1.69,1.08,1.03,2.32,0.8,0.67,0.41,3.59,0.04,3.43,2.28,1.84,2.46,0.28,3.62,2.82,3.11,,,,,,,
July,0.68,3.68,4.63,1.65,1.41,4.11,0.96,2.46,1.36,4.22,3.9,2.06,3.48,2.93,4.09,0.24,3,0.89,5.83,3.71,3.07,3.51,2.75,4.63,5.81,2.23,1.51,0.72,0.18,0.67,0.7,3.09,2.02,3,5.07,0.5,1.1,2.13,1.74,3.17,2.87,0.6,2.29,0.41,4.62,3.36,1.19,3.12,4.89,1.87,3.78,0.48,3.54,1.03,4.34,2.51,3.65,3.57,1.5,1.38,1.57,4.26,2.55,2.74,,,,,,,
August,0.7,0.61,2,4.34,2.18,1.94,3.9,2.98,3.99,5.42,0.51,4.45,2.97,1,1.48,2.64,1.71,1.29,2.74,3.15,3.45,5.65,3.44,1.19,3.56,3.02,1.53,5.84,1.76,4.36,1.49,1.2,3.43,3.73,2.83,3.8,1.29,1.33,3.72,2.54,4.86,0.75,6.35,1.13,2.9,1.67,4.19,5.61,2.77,3.54,1.13,2.56,3.78,1.8,3.52,2.78,1.09,2.99,2.03,2.26,3.12,3.14,1.61,1.54,,,,,,,
September,1.11,5.08,2.63,2.09,4.72,3.03,6.22,2.42,1.79,2.99,3.69,2.55,3.44,5.52,1.97,4.78,2.17,3.23,0.89,1.36,0.94,1.98,1.71,1.91,2.98,1.03,4.85,3.18,0.8,2.04,0.63,3.66,2.67,3.93,1.76,1.89,1.23,0.88,3.3,1.88,0.49,1.55,1.29,2.72,3.84,1.58,2.9,1.74,6.11,1.92,1.55,0.61,2.55,2.78,5.54,3.52,1.27,5.51,1.37,0.46,4.41,1.56,3.95,1.92,,,,,,,
October,3.97,3.52,4.95,1.94,5.82,7.3,3.34,1.75,2.96,1.01,5.28,2.04,7.39,2.91,0.93,4.77,4.82,4.27,1.61,3.82,1.22,7.56,4.04,2.57,3.68,4.48,2.34,1.1,4.45,1.98,1.94,2.05,2.59,5.57,1.82,2.48,4.58,7.6,3.74,5.4,3.67,3.64,4.43,3.44,2.97,8.24,5.14,3.56,1.95,1.88,2.79,1.17,1.58,4.72,6.18,3.26,2.48,1.56,5.74,4.72,3.19,0.48,6.51,2.37,,,,,,,
