SIDMOUTH-SIDMOUNT-(NO-2),,,,,,,,,,
Grid ref,SY122880,Long,-3.2432,Lat,50.6858,Elevation,195,ft,,
Station no,1809,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,1.26,2.89,4.73,3.97,2.74,4.88,0.87,,,
February,1.67,2.08,3.01,2.78,2.94,2.11,3.18,,,
March,2.03,0.93,2.26,3.08,0.47,0.89,3.28,,,
April,0.32,4.86,1.87,0.96,1.78,0.94,2.6,,,
May,1.37,0.45,1.38,1.26,1.39,2.68,0.21,,,
June,0.66,1.83,3.36,0.95,2.24,2.64,1.05,,,
July,0.71,3.61,4.57,1.57,1.34,4.01,0.92,,,
August,0.67,0.56,1.96,4.18,2.1,1.88,3.85,,,
September,1.07,4.98,2.55,2.02,4.61,2.94,5.6,,,
October,3.76,3.31,4.67,1.79,5.77,7.01,3.24,,,
November,2.57,1.68,3.72,4.1,2.81,4.75,4.36,,,
December,2.82,2.22,4.97,0.24,3.71,0.46,6.61,,,
Total,18.91,29.4,39.05,26.9,31.9,35.19,35.77,,,
,,,,,,,,,,
,,,,,,,,,,
1870 8ft 6 above ground on thermometer stand,,,,,,,,,,
"1870 Oct and 1871 Sept have small + by value, but there is no explanation",,,,,,,,,,
