SIDMOUTH-SIDMOUNT-(NO-3),,,,,,,,,,
Grid ref,SY122880,Long,-3.2432,Lat,50.6851,Elevation,175,ft,,
Station no,1809,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,1.25,,,,,,,,,
February,1.5,,,,,,,,,
March,1.9,,,,,,,,,
April,0.29,,,,,,,,,
May,1.3,,,,,,,,,
June,0.55,,,,,,,,,
July,0.66,,,,,,,,,
August,0.62,,,,,,,,,
September,1,,,,,,,,,
October,3.25,,,,,,,,,
November,2.13,,,,,,,,,
December,2.75,,,,,,,,,
Total,17.2,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1870 Gauge on portico which faces SSE – 11ft 3 above ground,,,,,,,,,,
