SIDMOUTH-SIDMOUNT-(NO-4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY122880,Long,-3.2432,Lat,50.6858,Elevation,186,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,0.75,3.11,0.91,1.16,4.06,5.82,4.59,2.77,4.52,1.95,4.42,5,4.25,3.67,5.2,1.98,5.25,2.34,2.88,,,,,,,,
February,,,,,4.03,6.3,5.91,1.2,1.54,5.03,0.47,0.38,2.61,6.47,1.12,3.94,2.38,3.01,2.94,2.29,1.27,2.15,0.08,,,,,,,,
March,,,,,4.85,0.95,3.15,3.39,1.65,4.87,3.02,1.63,3.25,1.45,1.22,0.36,0.55,4.16,3.25,0.2,2.35,1.66,2.58,,,,,,,,
April,,,,,1.38,1.02,0.58,1.63,1.75,1.88,4.21,0.84,2.83,2.68,2.78,3.14,2.07,1.98,1.5,0.57,3.81,3.21,2.45,,,,,,,,
May,,,,,1.79,2.03,2.57,2.1,1.58,0.82,1.54,1.81,0.65,1.43,4.49,4.69,0.96,0.74,1.28,2.57,2.12,2.86,4.08,,,,,,,,
June,,,,,1.69,2.04,1.79,1.77,1.09,1.01,2.33,0.8,0.69,0.39,3.54,0.04,3.56,2.38,1.76,2.48,0.25,3.67,2.9,,,,,,,,
July,,,,,4.73,3.35,1.19,3.16,4.98,1.76,3.87,0.48,3.69,1.03,4.43,2.47,3.66,3.62,1.43,1.32,1.67,4.3,2.57,,,,,,,,
August,,,,,2.9,1.81,4.09,5.62,2.78,3.7,1.22,2.47,3.86,1.93,3.45,2.82,1.13,3.01,1.93,2.31,3.25,3.29,1.59,,,,,,,,
September,,,,,4.02,1.49,2.76,1.85,5.98,1.9,1.54,0.62,2.68,2.84,5.49,3.6,1.23,5.59,1.33,0.39,4.71,1.53,4.11,,,,,,,,
October,,,,,3.09,7.21,5.21,3.64,2,1.82,2.94,1.15,1.52,4.86,6.36,3.37,2.46,1.73,5.69,4.83,3.21,0.45,6.43,,,,,,,,
November,,,,,3.64,2.46,4.55,1.85,2.81,2.58,1.51,3.98,1.78,2.14,3.87,2.73,9.39,3.33,3.77,10.04,5.12,5.41,2.8,,,,,,,,
December,,,,,7.68,7.66,4.23,1.05,3.88,4.66,3.99,1.55,5.12,3.38,4.15,4.75,0.56,3.89,2.74,7.41,4.38,1.73,2.49,,,,,,,,
Total,,,,,40.55,39.43,36.94,28.42,34.1,35.85,31.23,18.48,33.2,30.55,45.32,36.91,32.2,37.11,32.82,36.39,37.39,32.6,34.96,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd gauge close to thermometer stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
