BANSTEAD-SUTTON-LANE,,,,,,,,,,
Grid ref,TQ258601,Long,-0.19543,Lat,51.32663,Elevation,500,ft,,
Station no,92/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.75,2.97
February,,,,,,,,,0.14,2.05
March,,,,,,,,,2.91,2.31
April,,,,,,,,,2.76,
May,,,,,,,,,1.42,2.1
June,,,,,,,,,1.59,1.53
July,,,,,,,,,1.5,
August,,,,,,,,,1.27,3.64
September,,,,,,,,,0.21,2.82
October,,,,,,,,3.55,2.58,6.35
November,,,,,,,,1.95,,5.24
December,,,,,,,,3.59,,3.13
Total,,,,,,,,,,
,,,,,,,,,,
Sutton Lane Depot,,,,,,,,,,
1959 Nov Dec Part estimated,,,,,,,,,,
1960 Apr July Marked as estimated,,,,,,,,,,
,,,,,,,,,,
SRC_ID 6581,,,,,,,,,,
1958-1975,,,,,,,,,,
