BANSTEAD (SUTTON LANE),,,,,,,,,,,,
Grid ref,TQ260604,Long,-0.192914,Lat,51.328749,,,,,,,
Station no,92/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.75,2.97,,
February,,,,,,,,,0.14,2.05,,
March,,,,,,,,,2.91,2.31,,
April,,,,,,,,,2.76,0.71,,
May,,,,,,,,,1.42,2.10,,
June,,,,,,,,,1.59,1.53,,
July,,,,,,,,,1.50,1.64,,
August,,,,,,,,,1.27,3.64,,
September,,,,,,,,,0.21,2.82,,
October,,,,,,,,3.55,2.58,6.35,,
November,,,,,,,,1.95,3.78,5.24,,
December,,,,,,,,3.59,5.55,3.13,,
Total,,,,,,,,,26.46,36.49,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,26.46,34.49,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,2.00,,
