LOCH AILORT (POLNISH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM742835,Long,-5.708406,Lat,56.887725,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5719/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,13,7.57,11.84,7.6,3.68,11.21,11.39,4.01,0.88,1.13,7.79,8.18,9.15,7.24,9.69,5.84,7.25,11.59,7.14,10.8,7.36,6.8,8.45,4.99,6.25,,,,
February,,0.77,6.22,3.39,7.92,2.91,4.92,6.53,10.21,2.9,4.86,3.46,8.32,3.79,7.6,7.02,0.04,6.74,8.54,6.32,4.61,5.19,6.63,4.45,5.38,5.61,,,,
March,,4.92,3.67,4.05,5.84,3.82,1.78,13.49,6.5,5.91,2.42,1.64,4.84,5.02,6.65,4.13,1.75,6.06,5.77,6,4,5.38,3,4.88,2.1,2.75,,,,
April,,6.58,7.05,4.91,3.21,1.51,2.64,1.63,4.17,3.08,4.21,1.57,8.84,5.02,3.42,5.28,9.54,5.66,8.66,6.49,3.66,4.19,6.09,2.62,6.57,3.45,,,,
May,,2.16,2.61,7.46,1.15,3.36,3.67,4.98,2.12,3.14,1.82,3.41,3.94,8.15,4.35,1.14,3.61,1.68,4.03,2.28,0.91,4.04,4.84,5.05,3.9,5.81,,,,
June,,2.21,4.17,4.56,4.13,3.13,4.91,9.54,3,2.47,3.49,5.3,6.87,6.97,8.37,6.61,5.05,5.51,2.93,5.75,2.58,7.44,1.38,7.25,5.13,4.41,,,,
July,,9.1,6.81,6.79,7.3,7.21,6.04,7.62,10.64,8.58,4.78,7.49,4.79,2.39,4.24,8.32,4.86,6.48,3.7,7.07,7.96,6.47,7.09,6.92,2.3,7.82,,,,
August,,4.34,7.95,7.12,9.01,5.43,4.4,5.62,2.73,9.45,9.5,10.76,7.1,4.3,3.04,5.95,0.07,6.24,10.5,7.46,4.65,6.55,10.53,8.96,2.03,6.13,,,,
September,,10.63,2.11,11.66,9.35,4.46,6.77,7.45,2.95,8.68,5.13,11.31,8.81,6.02,7.22,6.51,10.14,12.16,4.61,13.09,5.51,6.38,8.15,9.81,8.91,5.86,,,,
October,,13.09,9.58,13.53,14.64,10.79,5.05,15.46,1.99,6.57,7.41,12.47,14.81,10.25,5.78,0.8,4.37,9.31,10.28,8.63,5.51,7.8,6.18,11.31,8.87,7.23,,,,
November,,9.59,4.79,3.99,7,6.35,2.39,12.49,11.38,10.21,8.09,4.37,8.18,7.9,1.18,6.7,11.36,7.01,9.68,6.31,8.67,4.05,14.93,10.57,3.21,8.79,,,,
December,,8.16,2.7,9.62,5.39,13.04,2.19,9.59,4.8,9.86,6.75,13.43,7.92,9.78,6.71,7.88,4.17,9.97,11.43,6.33,13.32,8.66,8.35,10.86,7.78,12.05,,,,
Total,,84.55,65.23,88.92,82.54,65.69,55.97,105.79,64.5,71.73,59.59,83,92.6,78.74,65.8,70.03,60.8,84.07,91.72,82.87,72.18,73.51,83.97,91.13,61.17,76.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 P with ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 - total fixed to match sum of months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5719/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,703817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
