"POPLAR OLD FORD (PENSTOCK HOUSE) (+A) LONDON",,,,,,,,,,,,
Grid ref,TQ369839,Long,-0.027487,Lat,51.537409,,,,,,,
Station no,56,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.21,1.54,0.80,1.04,2.31,3.21,1.18,1.99,1.76,1.47,,
February,5.01,0.76,1.35,1.99,1.18,0.14,2.75,2.19,0.05,1.56,,
March,2.49,2.10,0.42,1.80,0.86,0.91,1.14,1.01,1.37,1.48,,
April,2.58,0.85,2.14,0.25,0.23,1.01,0.12,1.57,1.94,0.42,,
May,1.54,0.81,1.13,1.64,3.75,0.48,0.99,2.25,0.89,1.99,,
June,1.01,1.76,1.70,2.75,2.02,2.14,1.08,5.04,0.71,1.71,,
July,1.54,0.47,3.16,2.53,0.58,4.65,3.46,2.14,1.57,2.31,,
August,3.36,2.58,1.81,3.05,1.03,4.01,1.59,3.25,2.89,2.39,,
September,2.90,2.06,1.78,1.60,2.17,2.12,2.00,3.70,0.05,4.85,,
October,0.82,2.07,3.26,2.19,2.62,1.71,1.96,2.26,1.75,4.99,,
November,4.05,3.01,0.84,3.17,0.47,0.37,1.91,1.79,2.90,3.52,,
December,1.51,2.06,0.54,1.29,1.58,2.20,1.45,2.86,2.96,2.29,,
Total,29.02,20.07,18.93,23.30,18.80,22.95,19.63,30.05,18.84,28.98,,
Calc annual,29.02,20.07,18.93,23.30,18.80,22.95,19.63,30.05,18.84,28.98,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
