TOTTENHAM-OBS-JE-WORTH,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ339909,Long,-0.068050912,Lat,51.601032,Elevation,47,ft.,,,,,,,,,,,,
Station no,RR2093,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.9,0.79,2.35,1.98,0.6,1.24,,,,,,
February,,,,,,,,,1.2,2.03,0.98,0.03,1.43,3.01,,,,,,
March,,,,,,,,,3.65,1.48,2.06,1.79,1.09,0.37,,,,,,
April,,,,,,,,,2.04,1.53,1.46,0.85,1.07,0.11,,,,,,
May,,,,,,,,,0.93,4.81,1.41,3.45,1.49,0.68,,,,,,
June,,,,,,,,,2.81,2.24,2.67,1.17,2.41,0.75,,,,,,
July,,,,,,,,,3.88,2.27,4.48,3.52,1.58,2.22,,,,,,
August,,,,,,,,,3.45,2.07,3.48,4.52,3.29,1.49,,,,,,
September,,,,,,,,,0.68,2.68,0.55,1,2.22,1.02,,,,,,
October,,,,,,,,,1.18,3.7,1.16,4.84,3.75,3.58,,,,,,
November,,,,,,,,,4.2,0.88,1.91,1.81,2.35,2.2,,,,,,
December,,,,,,,,,1.1,1.3,0.6,3.15,1.27,1.89,,,,,,
Total,,,,,,,,,26.02,25.78,23.11,28.11,22.55,18.56,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is for council offices that the Tottenham Local Board occupied in the late 1800s. J E Worth, the observer, was Chief Engineer. Altitude does not match. Unless on the roof. Could be wrong by several km.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
