WELLINGTON-WREKIN-COLLEGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ655117,Long,-2.5119924,Lat,52.701865,Elevation,340,ft.,,,,,,,,,,,,
Station no,2298/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.47,1.68,0.65,2.92,2.8,0.79,1.85,2.21,3.22,1.8,1.99,3.27,4.85
February,,,,,,,,1.21,0.65,4.55,2.84,0.4,1.7,2.01,1.31,0.85,1.61,3.48,0.27,2.13
March,,,,,,,,0.96,1.43,0.87,4.94,2.06,1.07,1.98,,1.24,1.9,1.12,2.24,1.79
April,,,,,,,,1.57,2.02,2.82,2.25,1.82,3.53,0.54,1.24,1.66,0.17,0.57,3.58,1.39
May,,,,,,,,1.48,1.51,1.12,3.99,3.67,2.26,3.12,,0.85,1.18,1.73,1.12,1.99
June,,,,,,,,2.9,0.85,1.32,1.31,2.31,2.25,2.87,3.68,3.3,2.19,5.81,1.7,2.51
July,,,,,,,,1.28,2.25,,1.94,0.87,2.38,2.83,0.52,1.36,2.43,4.17,1.76,3
August,,,,,,,,4.26,1.66,6.26,3.81,2.59,2.46,4.72,1.95,4.18,5.18,4.3,0.64,2.72
September,,,,,,,,2.93,0.48,3.09,1.83,1.71,2.59,1.45,2.09,3.15,5.57,4.4,0.29,5.27
October,,,,,,,,1.98,3.67,0.86,1.1,3.98,2.33,3.97,1.37,2.03,2.17,2.31,2.6,5.61
November,,,,,,,,1.23,2.19,3.24,6.53,2.2,1.74,7.09,2.13,0.77,2.09,1.65,3.36,4.18
December,,,,,,,,3.86,1.38,2.47,2.9,3.18,1.16,2.41,2.12,3.34,1.41,3.01,4.57,2.7
Total,,,,,,,,28.13,19.77,,36.36,27.59,24.26,34.84,,25.95,27.7,34.54,25.4,38.14
,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Wrekin College. Altitudes match,,,,,,,,,,,,,,,,,,,,
