"FARNHAM (CASTLE STREET)",,,,,,,,,,,,
Grid ref,SU838472,Long,-0.801521,Lat,51.217859,,,,,,,
Station no,200/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.42,2.36,1.03,1.66,3.66,4.34,1.97,2.62,,,,
February,5.60,0.77,1.23,1.60,1.72,0.29,3.56,2.82,,,,
March,3.76,2.98,0.30,2.47,1.16,0.63,1.39,1.61,,,,
April,2.83,2.04,2.18,0.29,0.39,1.06,0.34,0.85,,,,
May,2.95,2.59,2.07,2.94,3.86,0.25,1.23,2.48,,,,
June,1.33,1.49,1.42,2.61,2.34,2.43,1.00,3.66,,,,
July,2.45,0.60,2.76,2.53,1.61,3.08,3.85,1.47,,,,
August,4.56,2.46,1.52,2.30,1.24,3.61,1.80,4.64,,,,
September,2.49,3.27,2.26,2.21,2.24,4.12,2.85,3.96,,,,
October,1.02,3.71,3.48,2.34,4.05,1.87,1.90,2.79,,,,
November,7.93,3.50,1.29,4.62,2.59,0.97,2.38,2.54,,,,
December,2.56,2.10,0.76,2.68,3.00,4.16,2.03,2.70,,,,
Total,40.90,27.87,20.30,28.25,27.86,26.81,24.30,32.14,29.00,,,
Calc annual,40.90,27.87,20.30,28.25,27.86,26.81,24.30,32.14,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,NaN,,
