FARNHAM-CASTLE-(CASTLE-ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU838470,Long,-0.80121,Lat,51.21646,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,200/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.2,2.89,3.76,6.38,1.97,2.12,2.6,2.63,5,0.85,0.67,3.42,2.36,1.03,1.66,3.66,4.34,1.97,2.62,,
February,,,,,,,,,,2.97,2.73,0.75,1.59,0.81,2.27,2.77,2.16,1.42,1.3,4.53,5.6,0.77,1.23,1.6,1.72,0.29,3.56,2.82,,
March,,,,,,,,,,2.95,3.8,1.93,0.46,0.31,0.67,1.15,5.15,0.88,1.46,0.85,3.76,2.98,0.3,2.47,1.16,0.63,1.39,1.61,,
April,,,,,,,,,2.5,1.48,1.34,1.65,1.25,1.06,1.36,2.3,2.19,2.15,2.07,2.29,2.83,2.04,2.18,0.29,0.39,1.06,0.34,0.85,,
May,,,,,,,,,1.38,0.99,2.33,3.18,2.74,0.53,1.62,3.09,1.47,3.19,2.88,1.59,2.95,2.59,2.07,2.94,3.86,0.25,1.23,2.48,,
June,,,,,,,,,1.44,0.88,1.7,0.47,1.23,2.14,2.11,2.44,1.92,1.97,0.63,0.98,1.33,1.49,1.42,2.61,2.34,2.43,1,3.66,,
July,,,,,,,,,2.66,2.32,2.53,1.85,1.73,1.69,4.53,2.57,1.4,1.02,0.93,4.77,2.45,0.6,2.76,2.53,1.61,3.08,3.85,1.47,,
August,,,,,,,,,1.97,0.03,5.78,2.99,1.7,1.15,1.16,4.91,0.37,3.72,2.08,3.95,4.56,2.46,1.52,2.3,1.24,3.61,1.8,4.64,,
September,,,,,,,,,1.39,1.74,0.13,1.34,1.9,2.75,2.22,5.09,1.48,1.95,1.6,3.47,2.49,3.27,2.26,2.21,2.24,4.12,2.85,3.96,,
October,,,,,,,,,4.93,3.87,1.21,3.65,3.15,4.43,3.61,0.93,0.68,1.72,6.37,0.63,1.02,3.71,3.48,2.34,4.05,1.87,1.9,2.79,,
November,,,,,,,,,5.17,7.61,3.32,1.91,1.97,4.31,0.43,5.5,1.31,1.38,3.45,5.72,7.93,3.5,1.29,4.62,2.59,0.97,2.38,2.54,,
December,,,,,,,,,1.31,1.28,1.67,3.88,1.76,2.51,4.03,3.53,2.73,3.6,1.19,1.94,2.56,2.1,0.76,2.68,3,4.16,2.03,2.7,,
Total,,,,,,,,,,29.32,29.43,27.36,25.86,23.66,26.13,36.88,23.49,28,24.81,31.39,40.9,27.87,20.3,28.25,27.86,26.81,24.3,32.14,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lived at 40 Castle St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Not printed Low Gauge leaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Inspection Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Alt corrected in BR to 260ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 July Inspection Slight leak Nearby trees and hedge overgrown Suggest cut back as much as possible Likely to be oversheltered in summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
