KESWICK BASSENFELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY217326,Long,-3.215977,Lat,54.682343,Elevation,384,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,4.12,2.1,2.85,1.85,3.65,2.55,2.08,0.93,3.83,6.47,5.27,2.24,3.36,4.87,4.28,2.3,5.73,1.39,4.59,3.4,4.06,3.17,2.68,3.34,,,,,,
February,,,,,,,,,,,1.07,0.3,2.28,4.19,4.88,0.6,2.06,2.42,4.72,2.78,5.23,1.95,1.41,5.97,3.49,2.84,3.48,1.98,2.97,3.9,7.26,5.92,1.91,2.58,,,,,,
March,,,,,,,,,,,2.64,1.66,1.1,1.41,2.12,3.61,5.06,5.26,1.69,2.31,0.71,2.38,2.56,6.46,3.07,4.06,2.57,3.88,3.87,4.91,3.23,1.66,5.12,4.73,,,,,,
April,,,,,,,,,,,1.02,1.2,0.99,0.51,2.18,2.05,2.74,1.8,3.73,3.35,2.36,2.5,2.46,1.81,3.9,3.8,1.21,2.36,2.14,2.5,3.5,4.59,0.84,3.96,,,,,,
May,,,,,,,,,,,2.31,3.48,3.91,2.06,3.48,0.75,0.8,2.15,3.17,3.35,2.33,1.66,2.38,2.68,3.21,2.3,4.92,3.66,2.94,2.03,3.03,3.08,2.38,2.8,,,,,,
June,,,,,,,,,,,4.14,1.19,3.44,2.8,4.15,0.77,3.17,3.69,2.69,1.26,3.1,2.51,1.36,1.23,2,1.41,1.79,5.08,1.99,2.61,2.38,3.21,5.83,3.58,,,,,,
July,,,,,,,,,,,2.98,2.8,1.77,4.07,3.61,5.28,4.31,2.25,1.25,2.64,2.29,1.35,3.16,4.79,2.15,1.79,2.62,1.92,4.47,7.07,5.16,0.74,4.38,0.85,,,,,,
August,,,,,,,,,,,4.41,8.17,6.65,4.19,5.24,6.61,2.77,5.58,4.92,2,7.02,4.64,1.96,7.75,2.65,3.32,5.78,3.7,5.59,3.27,7.37,2.77,5.31,2.17,,,,,,
September,,,,,,,,,,3.59,4.14,7.09,7.08,4.57,0.58,1.49,5.03,4.94,1.87,7.44,2.16,2.13,1.74,5.27,1.95,4.08,1.16,0.26,2.81,2.76,0.7,3.13,2.32,2.38,,,,,,
October,,,,,,,,,,4.98,3.2,5.93,5.89,4.75,3.99,5.85,6.83,1.93,4.59,5.44,6.46,5.1,3.4,10.51,1.71,3.61,7.23,8.94,1.46,7.77,2.44,3.18,4.62,2.7,,,,,,
November,,,,,,,,,,1.81,6.96,4.57,2.85,3.04,4.47,5.36,1.74,5.67,4,5.3,4.31,6.02,2.15,3.95,4.01,4.01,4.24,4.33,3.26,2.62,4.4,6.18,4.5,4.73,,,,,,
December,,,,,,,,,,3.05,0.62,6.85,2.13,4.17,3.62,3.6,4.06,5.05,4.68,2.78,6.15,6.12,3.91,3.69,4.77,2.6,3.91,6.81,2.94,5.64,5.72,7.48,5.73,6.06,,,,,,
Total,,,,,,,,,,,37.61,45.34,40.94,37.61,41.97,38.52,40.65,41.67,41.14,45.12,47.39,38.6,29.85,58.98,37.19,36.12,44.64,44.31,39.03,48.48,49.25,45.11,45.62,39.88,,,,,,
