SUTTON-HURST-COTTAGE,,,,,,,,,,
Grid ref,SU979152,Long,-0.60834952,Lat,50.927956,Elevation,190,ft,,
Station no,451/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.55,1.29,2.15,3.56,5.85,3.71,4.68,3.6,4.02
February,,1.08,1.78,3.26,2.56,0.49,5.68,3.31,0.16,4.55
March,,3.38,0.43,3.96,1.43,0.6,2.27,2.73,3.14,2.41
April,3.46,2.44,2.43,0.36,0.48,1.67,0.38,1.09,3.01,1.31
May,3.08,2.55,2.28,2.83,4.59,0.41,1.13,3.74,1.12,1.65
June,2.19,2.09,2.15,4.86,2.73,1.99,2.3,3.76,0.97,2.29
July,3.16,0.89,5.04,3.77,0.78,3.9,5.56,2.45,1,5.59
August,6.84,2.57,2.26,3.08,1.5,4.87,4.52,3.67,2.01,6.18
September,3.91,3.86,4.27,3.39,2.49,5.28,4.6,4.95,0.11,5.54
October,2.2,4.92,3.57,3.91,3.38,2,2.39,3.94,3.53,9.69
November,8.63,4.57,1.87,7.04,2.65,0.97,2.78,2.54,4.94,8.12
December,4.48,3.29,0.99,3.08,5.11,6.4,3.18,5.38,9.07,5.01
Total,,35.19,28.36,41.69,31.26,34.43,38.5,42.24,32.66,56.36
