SPEKE (LIVERPOOL AIRPORT),,,,,,,,,,,,
Grid ref,SJ415839,Long,-2.880242,Lat,53.348739,,,,,,,
Station no,2809/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.24,3.16,1.16,2.48,1.87,3.81,1.44,2.87,2.93,5.00,,
February,2.16,1.33,1.24,2.36,1.82,0.41,1.89,4.50,0.26,1.74,,
March,4.33,1.71,0.94,2.00,1.63,1.30,2.12,1.58,1.22,1.45,,
April,1.44,2.13,2.12,0.85,1.72,2.81,0.60,0.78,2.98,1.30,,
May,2.57,1.67,2.07,2.37,2.28,0.95,1.41,3.01,1.94,1.97,,
June,1.13,1.95,1.41,2.65,3.36,2.20,1.99,5.00,2.44,1.57,,
July,1.57,1.80,2.90,4.04,0.54,4.53,3.96,3.54,3.65,4.27,,
August,4.20,1.27,3.06,3.28,1.10,9.50,3.21,4.07,0.98,4.85,,
September,2.43,3.91,3.01,2.43,2.63,2.59,6.56,4.35,0.14,3.42,,
October,0.89,3.83,1.34,5.68,1.74,3.05,2.69,3.03,2.78,3.81,,
November,6.67,2.78,2.49,5.05,1.48,1.60,1.22,1.75,4.06,5.21,,
December,4.16,3.35,1.32,3.69,3.43,2.05,2.91,3.52,4.29,3.15,,
Total,33.79,28.89,23.06,36.88,23.60,34.80,30.00,38.00,27.67,37.74,,
Calc annual,33.79,28.89,23.06,36.88,23.60,34.80,30.00,38.00,27.67,37.74,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
