"CANTERBURY MEDICAL HALL",,,,,,,,,,,,
Grid ref,TR148573,Long,1.078196,Lat,51.274342,,,,,,,
Station no,296,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.50,1.00,2.88,1.03,1.51,0.62,,
February,,,,,2.65,0.80,2.20,1.55,1.09,0.95,,
March,,,,,1.40,2.92,1.30,0.54,1.94,3.99,,
April,,,,,0.86,2.37,0.89,2.19,2.00,1.51,,
May,,,,,2.10,1.14,1.57,1.90,2.81,0.69,,
June,,,,,0.99,4.97,2.80,2.74,1.09,3.01,,
July,,,,,0.92,0.96,0.55,1.19,2.61,2.31,,
August,,,,,1.59,1.93,0.28,1.20,2.86,2.34,,
September,,,,,1.64,1.54,1.71,0.26,3.08,3.50,,
October,,,,,1.58,2.54,2.53,4.30,1.49,5.83,,
November,,,,,1.21,2.77,4.66,2.36,1.17,0.92,,
December,,,,,2.52,0.52,1.78,2.98,2.56,3.65,,
Total,,,,,20.96,23.46,23.15,22.24,24.21,29.32,,
Calc annual,0.00,0.00,0.00,0.00,20.96,23.46,23.15,22.24,24.21,29.32,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
