CANTERBURY-ST-KEYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR148578,Long,1.07967,Lat,51.27968,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.5,1,2.88,1.03,1.51,0.62,2.71,1.73,,,,,0.97,2.8,2.71,3.84,2.6,1.65,2.8,1.36,2.31,1.72,2.34,1.68,3.19,1.15,2.38,2.22,1.93,1.61,2.1,1.49,3.62,4.7,2.88,5.14,2.1,2.53,2.48,5,1.33,,,,,,
February,,,,,2.65,0.8,2.2,1.55,1.09,0.95,2.97,1.03,,,,,5.19,0.31,0.75,1.99,0.89,0.68,1.55,2.68,0.6,3.83,2.42,3.85,0.83,0.72,1.41,2.82,0.62,1.23,0.23,3.12,1.99,3.89,0.88,1.04,1.79,2.25,1.35,1.4,1.26,,,,,,
March,,,,,1.4,2.92,1.3,0.54,1.94,3.99,1.5,2.31,,,,,4.32,1.77,0.83,3.67,1.18,1.12,2.23,1.95,1.09,1.06,0.22,2.45,1.97,0.12,1.53,0.21,1.31,1.46,2.69,0.24,0.52,4.7,0.59,1.67,3.07,1.52,2.17,0.2,0.25,,,,,,
April,,,,,0.86,2.37,0.89,2.19,2,1.51,2.14,0.88,,,,,2.19,2.25,1.65,3.34,2.32,1.07,2.15,1.77,2.61,2.06,3.88,1.48,2.57,1.32,1.4,3.24,2.48,0.85,2.39,2.26,1.02,2.03,0.73,2.19,0.96,1.5,1.39,1.36,1.13,,,,,,
May,,,,,2.1,1.14,1.57,1.9,2.81,0.69,3.51,1.05,,,,,2.08,0.91,1.38,0.12,0.86,0.81,0.3,3.22,2.46,2.1,1.11,0.64,2.79,1.07,3.18,2.46,2.37,1.24,0.87,2.12,0.17,3.11,2.33,1.86,1.47,1.46,2.96,2.27,0.48,,,,,,
June,,,,,0.99,4.97,2.8,2.74,1.09,3.01,3.61,3.03,,,,,2.54,1.46,1.1,0.86,0.71,0.19,1.7,0.6,1.14,0.67,2.76,4.06,2.27,1.71,1.39,0.5,0.83,2.21,1.08,2.2,2.98,1.36,1.08,1.23,1.11,1.03,0.11,1.17,1.26,,,,,,
July,,,,,0.92,0.96,0.55,1.19,2.61,2.31,2.03,0.36,,,,,1.56,4.68,3.74,3.03,3.09,0.27,1.98,0.75,2.65,2.18,1.32,5.02,0.84,0.93,2.24,3.41,3.12,1,0.93,0.4,3.72,0.76,1.89,1.19,2.71,3.62,2.74,2.29,2.35,,,,,,
August,,,,,1.59,1.93,0.28,1.2,2.86,2.34,2.18,0.85,,,,,1.65,6.42,0.7,2.52,2.11,1.51,1.79,2.45,1.61,1.38,1.54,3.39,1.66,2.97,2.78,2.39,1.39,0.66,1.61,3.61,0.7,0.8,2.31,1.62,0.01,3.51,1.82,1.14,2.07,,,,,,
September,,,,,1.64,1.54,1.71,0.26,3.08,3.5,1.18,1.52,,,,,0.77,0.55,5.16,0.87,2.97,0.58,3.52,1.32,1.93,1.8,0.55,3.2,0.8,0.32,4.18,1.45,2.71,3.92,1.3,3.49,2.22,3.27,3.01,1.49,1.76,0.33,1.98,1.74,2.99,,,,,,
October,,,,,1.58,2.54,2.53,4.3,1.49,5.83,1.98,5.26,,,,,4.14,3.1,2.68,1.76,0.9,1.02,2.3,5.66,3.42,3.21,3.89,1.4,4.93,2.94,1.84,0.53,6.49,1.35,1.87,3.27,2.53,2.93,3.44,10.9,3.81,1.59,3.4,2.16,5.03,,,,,,
November,,,,,1.21,2.77,4.66,2.36,1.17,0.92,4.02,4.07,,,,,4.92,1.3,2.76,2.55,1.03,1.64,1.18,2.17,2.26,3.06,5.76,3.11,3.63,4.49,4.58,3.82,1.3,1.17,4.18,5.21,4.28,1.26,2.45,4.04,6.41,3.86,2.4,2.03,4.36,,,,,,
December,,,,,2.52,0.52,1.78,2.98,2.56,3.65,3.83,5.01,,,,,2.9,2.88,1.86,2.99,2.67,1.34,2.47,2.26,3.98,3.18,0.77,4.15,3.25,6.39,1.95,0.47,0.35,0.47,4.47,3.17,2.4,5.19,2.65,1.3,1.44,1.66,2.88,1.85,,,,,,,
Total,,,,,20.96,23.46,23.15,22.24,24.21,29.32,31.66,27.1,,,,,33.23,28.43,25.32,27.54,21.33,11.88,23.97,26.19,26.06,26.25,26.56,34.43,28.73,24.13,28.86,23.52,24.9,17.17,23.72,30.58,26.15,34,24.24,33.67,26.64,24.86,25.68,22.61,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
