BARROW-UPON-SOAR-THE-MOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK574173,Long,-1.151047,Lat,52.750278,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.61,0.81,3.21,3.94,1.37,1.16,2.16,3.21,0.62,3.18,0.73,0.77,0.98,1.63,0.86,3.49,3.26,1.01,2.32,1.23,2.17,2.17,3.08,2.23,2.35,2.75,1.19,2.04,1.68,2.44,2.13,4.54,1.2,2.87,1.35,1.48,1.57,2.24,0.99,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.87,1.1,1.63,3.97,1.28,1.62,0.93,2.78,0.74,2.28,0.95,1.21,0.58,1.91,1.76,1.58,0.89,1.29,3.24,4.79,0.69,1.53,2.72,1.71,0.29,1.95,3.31,0.65,2.31,2.32,2.13,2.16,0.73,0.55,2.64,0.39,2.14,0.26,1.97,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.07,1.29,1.09,0.82,2.63,1.44,3.36,1.62,2.61,1.4,0.95,2.38,2.82,0.5,1.57,2.66,3.93,2.31,0.99,4.89,1.36,0.93,3.67,2.27,0.85,1.65,1.26,0.71,0.89,0.76,2.06,1.46,0.1,2.14,0.24,1.7,2.36,1.57,0.98,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,2.05,2.13,2.16,1.05,1.66,2.22,1.99,1.09,1.09,0.77,1.82,2.28,1.13,1.69,0.78,0.21,2.39,1.27,0.91,0.7,0.96,2.01,1.44,4.53,1.02,3.27,2.13,1.89,1.4,1.73,1.19,0.66,1,2.87,3.28,2.18,1.17,3,2.99,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.14,2.63,3.01,1.71,0.96,2.44,2.76,1.91,0.4,1.76,3.04,1.44,0.95,2.55,1.16,1.8,1.85,1.78,1.45,2.39,2.18,1.34,1.24,1.67,1.7,1.13,1.98,4.63,3.72,2.51,0.83,1.54,1.39,2.6,3.09,5.86,1.77,0.85,0.61,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,2.51,1.16,0.97,2.94,1.78,2.42,1.99,0.35,3.49,2.61,1.71,1.3,2.89,1.16,1.87,3.66,0.91,1.83,1.7,1.48,2.32,0.44,0.67,1.41,0.48,0.5,0.38,2.21,0.08,2.7,3.57,3.05,1.14,1.41,2.81,0.79,1.94,0.6,2.65,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.45,1.29,2.75,2.2,2.94,1.22,1.66,2.27,0.91,0.47,2.89,2.47,2.66,2.15,0.06,4.59,0.64,2.89,7.2,1.3,1.89,2.22,3.72,3.38,0.21,4.55,4.67,2.18,2.44,2.25,2.16,1.4,1.64,4.78,3.45,3.63,1.54,0.98,0.33,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.67,3.43,0.54,4.02,1.58,3.63,4.04,2.96,3.05,0.82,2.02,2.66,3.22,3.57,2.46,5.63,1.59,1.69,1.85,2.92,5.14,1.63,2.81,1,4.26,5.54,1.66,2.06,2.26,2.33,2.7,2.23,1.68,1.82,4.85,2.45,0.67,1.89,1.33,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.92,0.44,3.02,0.52,0.99,1.15,2.69,1.27,2.02,0.94,0.83,1.59,2.49,0.83,1.03,0.81,1.62,0.54,1.02,0.78,1.6,4.47,1.45,1.26,1.07,1.41,2.67,2.46,2.87,0.7,4.8,0.75,0.63,3.84,2.31,1.9,2.04,1.56,3.71,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.33,3.35,2.54,2.01,1.28,2.27,5.73,1.14,0.79,4.73,3.73,1.23,3.09,2.37,2.35,2.76,3.14,1.77,1.31,2.76,3.06,1.1,1.7,1.3,2.02,0.87,2.22,4.2,3.11,2.59,1.95,3.92,3.12,2.24,0.39,3.19,3.05,1.22,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
