"BARROW-UPON-SOAR THE MOUNT",,,,,,,,,,,,
Grid ref,SK574173,Long,-1.151047,Lat,52.750278,,,,,,,
Station no,2510,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.94,1.37,1.16,2.16,3.21,0.62,3.18,0.73,0.77,0.98,,
February,3.97,1.28,1.62,0.93,2.78,0.74,2.28,0.95,1.21,0.58,,
March,0.82,2.63,1.44,3.36,1.62,2.61,1.40,0.95,2.38,2.82,,
April,1.05,1.66,2.22,1.99,1.09,1.09,0.77,1.82,2.28,1.13,,
May,1.71,0.96,2.44,2.76,1.91,0.40,1.76,3.04,1.44,0.95,,
June,2.94,1.78,2.42,1.99,0.35,3.49,2.61,1.71,1.30,2.89,,
July,2.20,2.94,1.22,1.66,2.27,0.91,0.47,2.89,2.47,2.66,,
August,4.02,1.58,3.63,4.04,2.96,3.05,0.82,2.02,2.66,3.22,,
September,0.52,0.99,1.15,2.69,1.27,2.02,0.94,0.83,1.59,2.49,,
October,2.01,1.28,2.27,5.73,1.14,0.79,4.73,3.73,1.23,3.09,,
November,2.42,1.15,1.53,1.73,1.24,2.53,3.36,1.94,0.97,0.63,,
December,4.45,4.72,1.72,1.53,1.69,0.70,2.11,2.79,1.52,3.88,,
Total,30.05,22.34,22.82,30.57,21.53,18.95,24.43,23.40,19.82,25.32,,
Calc annual,30.05,22.34,22.82,30.57,21.53,18.95,24.43,23.40,19.82,25.32,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
