HEADINGTON-QUARRY-FOREST-LODGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP563072,Long,-1.1856669,Lat,51.760663,Elevation,333,ft,,,,,,,,,,,,,
Station no,1054,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.33,3.83,1.33,2.7,1.41,1.71,1.89,1.72,0.55,,,,,
February,,,,,,,,3.39,1.42,0.53,0.65,1.97,0.19,2.91,0.31,1.85,,,,,
March,,,,,,,,2.16,1.6,0,1.13,0.14,1.51,2.5,1.92,0.48,,,,,
April,,,,,,,,1.84,0.74,1.49,2.51,3.21,1.93,2.08,1.78,3.17,,,,,
May,,,,,,,,1.05,0.77,1.25,1.88,3.05,5.73,0.5,0.76,1.4,,,,,
June,,,,,,,,3.26,1.54,1.23,0.66,2.93,0.59,1.89,1.49,3.87,,,,,
July,,,,,,,,2.31,1.31,1.32,3.08,3.6,2.46,1.96,0.55,0.57,,,,,
August,,,,,,,,4.42,1.7,0.99,2.12,3.31,2.19,0.71,1.89,2.01,,,,,
September,,,,,,,,5.46,0.78,0.17,3.7,3,2.86,2.04,1.97,4.69,,,,,
October,,,,,,,,1.72,3.65,3.57,1.1,0.76,4.61,0.9,1.46,3.62,,,,,
November,,,,,,,,2.75,2.44,6.49,4.48,3.34,1.31,1.2,1.69,4.25,,,,,
December,,,,,,,,2.73,2.12,4.64,3.19,1.16,0.82,0.3,5.44,3.04,,,,,
Total,,,,,,,,33.42,21.9,23.01,27.2,27.88,25.91,18.88,20.98,29.5,,,,,
