GOODLEIGH-CHELFHAM-MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS609356,Long,-3.98814,Lat,51.1028,Elevation,145,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1846/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.67,3.78,3.56,6.01,7.41,4.3,4.67,4.51,4.09,8.9,2.51,2.03,5.74,5.69,1.62,3.75,5.19,5.05,,,,
February,,,,,,,,,2.41,4.06,5.14,1.26,3.79,1.38,5.83,4.25,0.35,2.18,1.9,8.13,4.93,1.52,2.98,5.18,4.61,0.62,,,,
March,,,,,,,,,2.17,3.07,4.59,3.04,1.7,0.15,1.63,1.15,7.24,1.76,3.01,1.59,5.23,4.63,1.88,3.27,1.3,1.66,,,,
April,,,,,,,,,3.24,3.6,1.24,1.6,1.73,3.53,1.49,2.71,3.26,2.53,2.93,3.56,4.91,4.94,2.93,1.3,3.46,1.64,,,,
May,,,,,,,,,1.52,1.57,2.69,5.6,4.57,1.19,4.6,4.38,1.95,2.92,3.25,1.5,2.85,3.3,3.17,3.28,4.87,1.41,,,,
June,,,,,,,,,1.49,0.83,1.48,0.41,3.41,3.73,4.63,5.04,3.11,3.02,0.89,3.47,1.66,2.81,2.4,4.36,3.94,2.69,,,,
July,,,,,,,,,5.87,6.75,2.69,4.95,3.75,3.06,4.38,4.38,3.18,3.01,2.46,4.39,3.01,1.54,7.52,7.99,1.02,6.04,,,,
August,,,,,,,,,3.56,0.48,6.64,4.51,4.69,4.5,2.28,8.03,0.57,6.01,2.89,8.58,6.56,8.17,5.01,5.06,0.7,5.4,,,,
September,,,,,,,,,1.06,3.19,0.61,5.34,5.88,5.15,3.14,6.67,2.33,2.98,2.59,10.41,4.05,5.75,6.18,7.14,3.39,6.37,,,,
October,,,,,,,,,3.14,4.01,3.38,4.92,3.37,7.07,5.64,2.29,2.28,6.23,8.66,2.94,2.32,6.16,2.92,6.64,2.66,3.53,,,,
November,,,,,,,,,12.13,8.55,2.03,1.46,5.52,10.26,0.85,7.11,5.34,3.09,5.36,10.56,6.16,6.08,4.89,8.5,3.65,2.31,,,,
December,,,,,,,,,3.45,4.74,4.33,6.47,2.62,5.25,8.19,4.93,4.96,5.08,5.88,5.66,5.07,6.23,2.22,5.66,7.54,4.99,,,,
Total,,,,,,,,,47.71,44.63,38.38,45.57,48.44,49.57,47.33,55.45,38.66,47.71,42.33,62.82,52.49,56.82,43.72,62.13,42.33,41.71,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Stn transferred to Gt Warham Beaford Stn No 1854/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
