"LOCH DUICH (INVERINATE)",,,,,,,,,,,,
Grid ref,NG922216,Long,-5.445080,Lat,57.237782,,,,,,,
Station no,5788,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.57,,,,,,,,,,,
February,5.01,,,,,,,,,,,
March,3.67,,,,,,,,,,,
April,7.69,,,,,,,,,,,
May,1.70,,,,,,,,,,,
June,2.64,,,,,,,,,,,
July,6.27,,,,,,,,,,,
August,5.13,,,,,,,,,,,
September,6.33,,,,,,,,,,,
October,3.33,,,,,,,,,,,
November,7.36,,,,,,,,,,,
December,14.00,,,,,,,,,,,
Total,72.70,,,,,,,,,,,
Calc annual,72.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
