LOCH DUICH INVERINATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG922216,Long,-5.44508,Lat,57.237782,Elevation,28,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,
January,,,,,6.2,5.27,12.66,2.54,11.12,7.8,2.69,4.25,11.08,12.37,11.37,7.7,6.5,5.55,8.9,2.55,9.16,1.92,10.38,6.49,13.24,6.5,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45,8.99,14.23,9.52,12.29,9.55,5.13,11.12,15.22,6.21,0.55,1.92,7.73,7.41,15.58,6.8,10.74,6.51,7.44,14.79,8.22,9.57,,,,,,,,,,,,,
February,,,,,5.7,1.85,8.02,9.35,19.72,9.05,1.95,6.53,4.43,1.85,2.85,1.6,5.8,10.2,4.65,3.3,10.02,9.58,8.05,8.41,7.31,10.4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,7.71,0.81,6.79,4.32,12.46,2.53,7.67,8.57,13.33,3.85,6.21,3.37,12.47,6.04,11.28,7.77,0.16,7.53,14,7.78,5.01,,,,,,,,,,,,,
March,,,,,4.7,0.93,3.25,1.05,9.38,3.1,1.57,6.8,1.85,3.2,12.45,3.9,9.05,6.55,8.25,6.1,5.3,8.08,13.57,6.76,3.61,6.47,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,0.9,3.5,3.65,5.21,6.11,3.7,2.12,17.89,7.08,4.97,2.57,1.52,7.18,6.46,9.84,4.74,1.46,8.64,4.9,5.77,3.67,,,,,,,,,,,,,
April,,,,,3.45,2.35,2.05,5.09,2.25,3.2,7.78,1.28,3.45,2.03,6.4,3.7,3.55,1.6,2.4,0.65,5.95,2.53,4.85,4.84,6.11,3.1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,4.4,7.64,7.59,6.88,4.02,2.83,1.7,2.86,5.73,4.5,3.54,2.23,10.3,5.01,4.01,6.11,13.9,6.42,10.81,8.49,7.69,,,,,,,,,,,,,
May,,,,,3.25,3.62,2.07,2.02,5.35,0.65,4.52,2,6.97,5.98,2.7,8.95,2.05,4.55,5.15,5.05,2.65,4.76,2.2,2.2,6.06,3.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,5.99,2.51,2.45,7.28,1.55,2.56,2.81,4.84,2.52,2.04,2.58,2.62,5.2,7.84,6.04,1.64,2.41,2.77,4.56,2.84,1.7,,,,,,,,,,,,,
June,,,,,5.6,2.59,1.78,4.6,4.75,1.8,4.75,2,8.32,7.38,5.55,5.05,5.75,11.25,3.05,2.65,3.42,5.05,6.01,2.68,2.87,2.92,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09,5.47,1.69,3.76,3.17,3.2,2.1,4.87,9.08,2.33,2.77,2.12,5.17,6.77,8.68,8.1,7.17,4.39,6.32,2.63,7.36,2.64,,,,,,,,,,,,,
July,,,,,4.5,7.25,4.1,2.21,3,4.75,3.57,9.42,3.45,5.04,5.4,4.1,5.7,6.55,2.25,7.42,4.08,12.77,6.35,3.41,5.43,2.65,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,7.08,7.49,6.31,6.58,4.49,4.92,5.3,6.64,8.26,9.35,7.44,7.17,6.43,1.56,4.99,10.9,4.54,5.72,4.46,5.05,6.27,,,,,,,,,,,,,
August,,,,,4.3,6.76,5.5,3.7,9.8,2.43,1.27,4.29,3.35,9.35,7.2,10.75,4.7,4.55,4,5.15,4.38,3.42,5.82,9.32,5.71,4.7,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.24,2.41,5.24,8.5,7.96,7.35,4.5,4.91,4.88,3.19,8.88,12.79,11.68,5.94,5.38,3.35,6.59,0,7.31,8.8,9.35,5.13,,,,,,,,,,,,,
September,,,,,8.2,6.53,9.24,8.5,0.83,10.44,3.8,1.72,11.25,6.71,13.6,5.6,2.25,4.5,11.62,12.65,6.94,2.9,5.61,4.82,6.15,3.88,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,1.69,8.1,1.02,8.5,12.58,3.75,8.13,6.21,2.92,7.06,3.98,10.85,7.05,6.01,7.26,10.78,10.02,12.33,8.2,14.1,6.33,,,,,,,,,,,,,
October,,,,,3.8,6.62,4.56,10.01,10.52,5.65,5.8,9.85,9.6,11.07,14.8,5.08,6.83,11.34,10.05,5.05,4.81,7.3,2.52,9.9,9.93,7.7,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89,8.23,11.36,8.63,15.05,14.67,10.37,4.61,18.11,1.74,8.07,9.34,13.77,14.86,12.49,5.88,1.14,5.85,10.89,8.88,9.21,3.33,,,,,,,,,,,,,
November,,,,,4.85,4.47,8.56,2.3,5.55,10.5,2.3,2.65,7.65,7.4,6.5,5.8,2.35,15.15,8.8,7.41,10.31,12.01,13.25,12.85,8.69,6.35,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.61,7.61,11.31,4.11,4.2,6.12,5.92,2.58,16.2,11.6,15.13,10.08,5.29,8.73,9.34,1.22,5.83,13.71,8.6,9.8,6.91,7.36,,,,,,,,,,,,,
December,,,,,7.75,8.49,12.7,9.35,9.47,9.75,3.95,8.15,5.55,15.75,3.65,8.95,3.75,10.95,4.9,9.05,2.73,7,9.12,12.65,5.46,5,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92,11.93,8.84,1.85,8.01,3.97,16.61,2.61,8.62,4.79,12.08,11.36,15.2,8.51,10.12,6.66,7.7,5,9.63,16.5,6.99,14,,,,,,,,,,,,,
Total,,,,,62.3,56.73,74.49,60.72,91.74,69.12,43.95,58.94,76.95,88.13,92.47,71.18,58.28,92.74,74.02,67.03,69.75,77.32,87.73,84.33,80.57,63.57,68.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9,72.41,82.72,64.18,89.45,86.07,64.92,58.43,119.12,69.7,79.25,73.93,86.6,100.85,94.51,75.43,81.11,67.95,93.6,108.33,92.07,72.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1873 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
