WALDINGFIELD-HOLBROOK-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL916451,Long,0.79415256,Lat,52.071114,Elevation,185,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,3.32,1.3,2.49,1,1.97,1.24,2.96,1.83,1.74,,1.19,1.18,1.08,2.93,4,4.03,2.3,5.08,1.28,2.49,,,1.73,,,,,,
February,,,1.52,2.99,1.07,1.91,2.26,2.59,1.17,0.36,0.57,,0.36,1.6,0.34,2.07,2.06,2.55,0.94,1.15,1.19,1.99,0.86,,1.28,,,,,,
March,,,1.64,1.42,0.81,1.06,0.2,1.84,2.14,0.08,1.1,,1.09,1.61,1.86,0.95,0.95,4.23,0.45,1.69,2.87,3.04,1.7,,0.68,,,,,,
April,,,2.52,1.18,2.3,2.09,3.6,2.24,1.19,1.35,2.85,,2.4,1.02,2.35,2.31,1.07,2.95,0.72,2.08,1.73,1.62,0.96,,1.7,,,,,,
May,,,1.48,1.26,4.04,2.56,1.43,0.94,2.33,1.09,2.23,,3.22,1.74,0.54,1.72,1.85,3.31,1.38,0.85,1.65,1.3,,,1,,,,,,
June,,,2.03,0.83,1.71,0.46,3.1,3.26,2.07,1.2,1.02,,0.07,2.24,1.82,2.7,2.24,2.37,1.57,1.93,0.48,0.15,0.43,,1.76,,,,,,
July,,,3.02,2.34,2.36,2.02,2.6,3.63,2.46,3.79,3.89,,3.55,1.07,1.44,0.61,5.05,1.49,1.63,2.25,3.71,3.39,,,2.4,,,,,,
August,,,2.12,1.83,2.67,3.34,1.4,2.38,2.29,1.53,,,1.52,1.19,1.33,1.43,1.18,1.48,1.9,2.89,0.94,4.65,2.18,,1.81,,,,,,
September,,,3.66,1.91,4.06,2.89,1.51,3.5,0.74,0.46,,,0.97,2.53,1.62,2.28,2.59,1.07,2.42,1.6,,1.22,2.09,,3.43,,,,,,
October,,,1.05,4.27,3.61,2.4,2.85,2.04,2.37,2.92,,,4.35,2.62,1.98,2.04,1.79,1.35,2.56,5.27,2.39,2.27,4.23,,3.29,,,,,,
November,,,0.8,2.26,2.29,2.23,3.29,2.01,1.92,3.28,,,1.35,1.25,1.69,3.8,3.11,2.02,2.15,4.06,5.66,2.59,2.45,,3.34,,,,,,
December,,,1.54,2.63,1.98,1.47,0.68,1.99,3.01,4.45,,,0.39,0.3,3.2,3.07,2.09,3.01,2.25,1.62,1.85,1.11,,,1.15,,,,,,
Total,,,24.7,24.22,29.39,23.43,24.89,27.66,24.65,22.34,,,20.46,18.35,19.25,25.91,27.98,29.86,20.27,30.47,,25.82,,,23.57,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Aug-Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan May Jul Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 House damaged by enemy action NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
