BRILLEY VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO261492,Long,-3.081144,Lat,52.136136,Elevation,590,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1,5.21,1.66,1.29,1.7,3.26,0.51,4.21,3.85,1.4,3.54,2.14,1.45,2.67,4.46,4.51,3.6,,,,,,,,,
February,,,,,,1.28,2.66,1.5,1.55,0.78,4.32,2.04,1.89,1.78,3.74,5.6,5.14,0.87,2.33,4.04,1.85,0.18,,,,,,,,,
March,,,,,,4.24,2.03,1,3.43,3.29,0.8,1.78,4.88,6.14,4.05,1,4.37,3.38,2.09,6.68,4.16,2.58,,,,,,,,,
April,,,,,,2.79,1.17,2.9,3.37,2.15,2.79,1.64,0.39,3.99,1.49,1.06,1.75,2.08,2.68,1.98,6.62,0.7,,,,,,,,,
May,,,,,,0.48,2.38,3.4,2.18,1.15,2.07,1.66,2.25,2.83,1.74,5.38,4.14,4.04,2.92,0.38,2.16,1.16,,,,,,,,,
June,,,,,,3.03,2.07,3.21,1.23,2.95,5.37,2.14,3.89,1.29,2.18,1.5,1.43,2.34,0.72,1.57,3.74,0.31,,,,,,,,,
July,,,,,,1.09,0.76,4.72,5.89,2.9,2.36,0.18,4.1,0.55,4.12,5.04,1.65,2.29,3.93,1.27,5.53,1.1,,,,,,,,,
August,,,,,,4.54,2.32,2.26,4.65,1.26,5.08,1.5,8.64,1.37,2.68,2.04,2.32,7.91,2.55,3.15,1.12,3.02,,,,,,,,,
September,,,,,,1.65,1.11,0.64,2.82,3.25,0.48,2.17,1.15,2.21,1.26,0.72,1.26,2.57,7.87,2.62,2.75,0.95,,,,,,,,,
October,,,,,,2.22,4.59,7.82,2.48,5.27,4.16,2.71,3.81,6.01,2.64,4.76,6.25,4.4,1.85,1.66,4.23,2.35,,,,,,,,,
November,,,,,,3.19,3.68,2.65,2.41,1.14,5.45,3.73,1.86,3.45,5.14,3.34,3.2,2.33,2.24,2,1.36,2.75,,,,,,,,,
December,,,,,,0.98,2.98,3.84,3.73,6.6,9.32,6.88,4.6,1.9,6.87,7.37,2.13,1.19,4.63,4.77,4.03,2.69,,,,,,,,,
Total,,,,,,26.49,30.96,35.6,35.03,32.44,45.46,26.94,41.67,35.37,37.31,41.35,35.78,34.85,36.48,34.58,42.06,21.39,,,,,,,,,
