GUERNSEY-ST-PETER-IN-THE-WOOD-ROCQUAINE-HAWTHORNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV252763,Long,-2.65043,Lat,49.43886,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,4433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.34,2.13,3.01,1.75,3.23,5.41,4.53,3.74,5.02,1.93,4.67,2.73,1.34,1.84,,,,,,,
February,,,,,,,,,,,0.61,0.25,1.35,3.64,1.09,3.77,2.37,1.68,3.54,1.57,1.7,2.31,0.76,1.97,,,,,,,
March,,,,,,,,,,4.76,2.34,1.5,2.45,1.82,2.61,0.46,1.29,2.98,2.68,0.06,2.3,2.66,2,1.02,,,,,,,
April,,,,,,,,,,1.24,2.32,0.87,3.32,2.06,2.45,2.63,3.44,1.65,2.61,2.27,3.52,1.61,2.63,0.71,,,,,,,
May,,,,,,,,,,0.88,1.27,1.85,0.68,4.11,2.77,3.78,2.24,0.77,2.77,1.88,1.57,2.78,2.41,1.12,,,,,,,
June,,,,,,,,,,0.7,2.37,0.15,3.23,0.33,1.04,0,2.81,2.3,2.19,1.77,0.99,1.24,0.91,1,,,,,,,
July,,,,,,,,,,1.51,2.93,0.6,2.14,0.96,1.47,2.1,0.7,2.68,0.5,1.64,1.47,2.28,1.65,1.47,,,,,,,
August,,,,,,,,,,3.33,1.16,1.3,1.65,1.26,1.76,2.57,1.13,2.55,1.56,1.66,2.29,6.76,0.41,1.24,,,,,,,
September,,,,,,,,,,2.18,4.37,0.9,1.51,2.16,3.74,2.07,0.28,5.59,2.49,1.47,2.57,1.77,2.8,2.21,,,,,,,
October,,,,,,,,,,1.56,1.92,0.46,1.93,4.61,3.87,2.52,2.89,1.13,6.19,4.64,2.38,0.8,3.19,2.71,,,,,,,
November,,,,,,,,,,5.94,1.07,2.29,1.73,3.21,1.35,3.31,5.68,4.56,3.3,6.49,8.12,2.25,1.21,2.72,,,,,,,
December,,,,,,,,,,4.13,3.99,1.64,3.25,3.04,3.1,5.03,1.6,2.67,3.14,4.88,2.87,1.94,1.25,1.6,,,,,,,
Total,,,,,,,,,,,27.69,,26.25,28.95,28.48,33.65,28.96,32.3,35.99,30.26,34.45,29.13,20.56,19.61,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawthorns not found but this is on Rocquaine Bay at the correct elevation and distance to church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Sept 2 Gauge moved 50yds S to new site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Inspection Old site At top of steep cliff dropping nearly perpendicularly to quarry 20ft NW of gauge Very indifferent site being unduly exposed to wind ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Sept 2 Gauge moved 50yds S Unknown if this was another move or if 1921 move was incorrectly dated Inspection of old site in 1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Jan 6 Observer leaving district Gauge moved to La Seigneurie Torteval 1 mile SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
