"MASHAM MOOR (BREARY BANK)",,,,,,,,,,,,
Grid ref,SE158802,Long,-1.759203,Lat,54.217289,,,,,,,
Station no,3414,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.15,3.06,0.70,2.87,2.78,4.92,4.27,4.28,3.82,5.76,,
February,4.60,0.53,2.80,3.46,2.33,2.27,3.72,6.75,0.12,4.46,,
March,4.59,2.20,0.43,2.70,2.53,1.49,2.04,2.77,2.30,3.28,,
April,2.26,1.73,3.03,0.65,0.76,2.08,0.30,1.01,4.03,1.92,,
May,7.92,1.92,2.64,4.71,3.38,0.65,1.92,5.17,1.02,1.42,,
June,1.09,0.97,3.64,2.03,2.48,3.04,1.53,3.63,1.67,0.94,,
July,1.26,1.09,3.30,2.28,1.02,5.38,3.80,2.78,1.80,4.33,,
August,5.43,3.52,3.31,6.67,1.64,7.70,6.61,3.18,0.85,3.19,,
September,1.71,4.71,2.93,3.27,1.39,4.74,4.12,3.29,0.16,3.60,,
October,1.61,4.44,2.28,6.33,2.31,2.08,3.54,2.89,4.01,7.59,,
November,9.73,2.58,2.73,8.11,3.04,0.85,2.44,0.88,5.81,6.48,,
December,5.75,2.62,2.03,3.86,5.00,4.43,3.76,5.14,8.48,4.96,,
Total,49.10,29.37,29.82,46.94,28.66,39.63,38.05,41.77,34.07,47.93,,
Calc annual,49.10,29.37,29.82,46.94,28.66,39.63,38.05,41.77,34.07,47.93,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
