ASHBOURNE-YELDERSLEY-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK209440,Long,-1.690081,Lat,52.992926,Elevation,560,ft.,,,,,,,,,,,,
Station no,RR6190,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,2.52,2.61,2.52,1.6,4.68,1.55,1.6,1.45,2.89,,4.69,3.99,1.96,,,,,
February,,,2.13,1.46,4.32,0.98,3.69,2.47,2.19,0.76,3.04,,1.85,1.12,2.1,,,,,
March,,,2.28,4.14,1.85,4.02,2.47,1.87,2.81,3.44,0.7,,3.65,4.29,4.06,,,,,
April,,,2.88,1.62,2.01,2.59,1.1,1.8,2.65,1.82,2.61,,0.33,3.44,1.29,,,,,
May,,,3.02,3.54,1.84,0.72,2.37,3.43,3.11,1.83,2.15,,2.09,2.39,1.97,,,,,
June,,,2.5,0.97,0.83,2.22,1.6,4.24,2.4,3.2,1.43,,4.16,1.82,1.21,,,,,
July,,,2.04,4.2,2.48,1.73,0.64,2.97,3,4.31,3.26,,3.39,0.75,5.32,,,,,
August,,,3.96,5.4,4.41,4.6,2.02,3.79,3.45,2.88,4.07,,7.06,1.57,3.04,,,,,
September,,,1.71,4.32,1.64,1.74,1.1,0.81,2.47,2.49,0.28,,1.14,1.6,1.84,,,,,
October,,,3.52,6.85,1.7,1.91,6.9,4.54,1.33,4.99,2.6,,3.94,2.86,2.7,,,,,
November,,,2.5,2.9,1.86,3.21,3.12,3.25,2.29,0.6,5.25,,2.18,2.57,3.38,,,,,
December,,5.29,2.79,1.76,1.88,0.69,3.57,2.92,2.5,6.49,4.7,,3.7,1.44,6.06,,,,,
Total,,,31.85,39.77,27.34,26.01,33.26,33.64,29.8,34.26,32.98,,38.18,27.84,34.93,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Yeldersly Hall. Stated altitude is 70 ft too high and does not occur in the area; OS figure used,,,,,,,,,,,,,,,,,,,,
