EASTON-ON-THE-HILL (Easton House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF011047,Long,-0.507677,Lat,52.630649,Elevation,271,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,
January,,,,,,,,2.54,2.27,2.34,1.51,1.14,3.97,1.48,1.64,2.3,2.09,3.22,1.5,1.47,0.32,0.71,1.67,2.09,1.8,1.22,2.83,2.15,0.73,1.19,1.79,1.28,1.01,1.21,1.53,2.49,0.89,1.85,0.86,2.34,3.21,0.91,0.85,1.85,1.88,0.98,3.85,1.03,1.06,0.81,1.92,1.15,3.02,2.86,1.4,2.25,1.24,2.2,2.67,,,,,,
February,,,,,,,,1.38,1.3,1.99,1.73,1.55,1.77,1.47,2.01,1.69,2.37,1.58,1.45,2.41,1.91,2.99,1.58,3.03,0.87,2.19,0.29,0.51,1.11,1.89,0.94,0.04,1.88,1.84,1.39,0.22,0.7,2.81,0.54,1.26,3.16,1.26,1.6,0.85,2.98,0.55,1.86,1.21,1.45,0.13,2.63,1.34,1.53,0.76,1.16,2.7,3.5,0.67,1.17,,,,,,
March,,,,,,,,2.22,2.1,1.97,0.88,1.03,1.52,1.7,0.74,0.67,2.64,1.51,0.6,0.79,1.12,1.67,1.01,1,0.98,1.06,2.08,1.36,1.9,1.75,1.79,1.06,0.86,0.25,0.61,1.7,1.93,2.81,1.06,0.77,0.45,1.7,1.1,2.65,1.63,2.38,1.22,1.25,2.57,3.01,0.68,1.52,2.41,3.05,2.61,0.84,3.1,1.49,0.9,,,,,,
April,,,,,,,,2.28,1.43,2.31,0.41,2.82,3.13,1.09,1.25,1.28,4.05,3.04,1.95,2.8,2.4,1.18,3.22,2.72,1.41,1.95,1.39,0.93,2.53,2.53,0.72,1.04,0.8,0.33,1.03,1.35,0.53,1.27,2,1.62,0.76,1.9,1.53,1.95,1.15,1.77,0.49,3.29,1.81,1.71,1.5,0.82,0.1,1.98,1.05,0.76,0.8,1.35,2.25,,,,,,
May,,,,,,,,3.18,0.49,5.24,0.77,0.88,1.68,1.8,1.2,1.77,0.65,2.03,4.54,2.94,1.32,0.8,2.25,2.13,1.17,2.29,4.69,1.56,0.81,4.62,3.01,2.36,1.79,0.7,1.2,0.46,0.46,1.14,2.69,2.19,1.46,1.56,2.64,3.05,1.56,1.07,1.64,4.18,1.46,1.27,3.17,1.11,3.56,2.37,1.19,2.4,2.32,1.35,1.91,,,,,,
June,,,,,,,,1.06,0.47,1.18,1.44,3.14,2.57,3.08,0.9,3.96,1.55,0.87,1.33,3.96,2.83,2.4,2.59,2.93,1.02,2.61,0.77,1.01,1.43,0.32,1.76,2.11,2.32,0.84,1.95,1.16,2.86,2.06,0.88,1.24,1.68,1.91,1.67,1.98,0.7,2.55,2.55,1.79,0.93,2.22,1.1,1.69,3.74,1.49,3.02,1.1,2.49,2.05,0.5,,,,,,
July,,,,,,,,2.37,0.21,0.32,1.34,3.57,3.76,3.02,0.98,6.21,0.73,2.64,1.2,2.84,6.96,3.06,3.37,3.3,3.66,0.2,3.89,0.6,4.16,2.39,2.58,2.31,2.11,2.22,3.54,2.57,1.51,0.16,0.95,1,1.61,3.28,1.2,1.93,2.56,1.89,0.92,1.83,2.28,3.3,1.87,0.47,5.88,0.91,1.88,4.33,2.19,1.23,3.17,,,,,,
August,,,,,,,,2.38,3.62,1.49,1.57,0.74,2.77,2.14,1.65,2.05,1.63,3.45,5.01,3.05,1.9,4.5,1.77,0.9,1.56,2.82,1.67,0.76,1.94,2.58,1.59,2.87,1.82,1.72,2.11,1.71,1.52,2.79,3.12,0.67,3.27,1.73,3.27,4.31,2.29,3.03,1.43,3.3,2.5,2.45,2.58,1.72,6.44,1.05,1.37,2.8,3.67,5.77,1.12,,,,,,
September,,,,,,,,2,2.93,2.71,0.77,4.67,2.39,1.9,2.92,2.45,4.85,1.54,1.25,2.64,4.68,2.33,2.21,5.65,1.44,3.26,1.27,1.49,1.39,2.14,0.38,1.27,2.45,1.16,1.01,0.73,3.79,2.51,0.41,4.12,0.41,1.46,2.11,3.06,1.76,2.46,1.17,0.68,2.02,3.53,1.16,1.35,1.05,1.84,0.65,1.07,0.76,1.66,4.57,,,,,,
October,,,,,,,,1.77,2.5,1.09,2.88,1,4.39,1.79,2.09,5.03,1.37,0.96,2.2,0.56,6.05,3.64,5.28,1.68,0.97,5.02,3.87,2,0.35,2.84,1.18,4.65,4.05,2,2.55,1.68,3.2,0.99,2.31,2.68,1.86,2.03,1.94,6.43,0.68,1.08,4.08,3.42,1.46,3.37,2.08,2.25,2.65,2.79,2.64,1.33,1.76,3.07,1.55,,,,,,
