NENAGH CASTLE LOUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IR7384982677,Long,-8.389333,Lat,52.894583,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,4.74,2.02,6.03,3.67,3.87,1.2,0.67,2.91,8.29,5.78,3.54,5.17,4.29,2.57,3.57,7.35,2.35,2.57,3.03,5.22,2.5,1.46,2.25,2.75,5.48,5.81,4.04,4.31,6.39,4.76,3.48,4.98,1.54,3.71,3.29,5.31,1.67,3.38,5.96,2.86,5.27,3.28,1.19,3.39,3.78,5.79,5.22,4.79,3.62,4.86,5.19,7.34,5.02,6.38,1.66,7.56,3.13,5.15,4.51,5.71,1.71,6.91,7.51,6.5,4.76,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.98,4.76,3.25,2.19,4.9,3.23,4.44,3.21,5.26,4.58,4.38,2.62,1.77,0.57,2.77,1.46,0.24,2.49,3.8,4.7,0.66,1.95,2.58,3.04,3.78,3.24,1.16,3.02,3.77,4.73,1.85,3.26,2.28,2.35,1.88,6.35,3.64,3.58,2.01,6.57,4.98,5.54,1.48,5.72,2.03,3.61,1.86,6.12,5.86,1.45,5.95,3.99,2.55,5.61,3.22,0.83,4.26,0.33,3.52,0.39,3.83,2.78,5.33,1.72,3.4,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.05,4.7,2.81,1.43,2.19,4.23,3.16,4.28,0.86,4.05,2.26,3.65,1.52,3.5,2.05,3.07,2,0.55,0.59,3.09,3.32,5.89,5.92,1.01,1.47,0.5,3.34,2.75,7.51,3.04,5.57,3.25,3.05,3.83,2.79,2.86,1.53,4.57,5.62,4.75,0.87,1.88,2.88,2.51,3.29,3.28,4.06,2.07,2.87,1.03,0.73,2.16,4.33,4.1,1.04,5.01,2.54,1.8,3.68,3.54,2.11,2.37,2.36,1.85,3.16,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.31,2.82,3.84,2.39,2.05,4.16,1.55,4.35,1.82,1.53,2.62,3.53,2.19,1.83,2.86,1.28,2.1,1.54,0.57,4.46,1.45,1.07,5.09,4.02,3.9,2.76,3.08,2.6,1.39,3,1.93,1.64,2.65,1.92,3.67,3.14,2.38,1.06,4.25,2.21,2.22,4.07,2.44,0.79,1.65,3.61,1.11,3.14,3.3,3.16,5.44,2.63,1.95,2.71,1.31,2.12,2.76,2.74,1.31,2.36,2.8,2.85,2.94,0.4,1.21,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.34,0.78,3.59,4.05,2.16,1.79,3.35,2.76,3.14,2.43,2,4.14,1.27,3.23,2.71,2.4,2.46,4.29,1.55,3.36,1.2,0.17,1.59,2.97,3.56,2.25,1.12,2.32,2.78,2.93,1.28,3.52,3.32,3.34,1.96,2.23,2.99,1.65,3.94,1.29,1.34,2.78,3.1,2.74,3.92,4.58,2.09,2,1.47,3.1,4.99,2.44,1.62,1.47,2.43,1.52,4.23,2.7,3.85,2.4,1.39,1.24,3.96,3.29,1.62,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.72,2.41,4.73,7.01,5.34,3.21,5,2.89,1.42,0.57,2.24,1.86,0.17,5.67,0.78,2.81,2.76,2.19,2.14,2.26,1.67,2.19,3.46,3.76,1.34,4.42,2.67,1.81,1.45,1.72,2.16,2.15,3.43,1.27,1.95,3.38,2.39,5.96,3.35,0.74,1.68,3.03,1.69,1.69,2.31,2.08,0.76,1.89,1.11,3.6,0.7,2.75,4.38,4.33,1.4,2.11,4.44,1.49,2.66,2.06,5.15,2.93,1.44,3.16,2.14,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.33,1.5,1.98,1.14,3.34,5.52,1.88,5.52,5.83,2.9,2.34,4.06,2.28,4.35,2.06,2.49,1.42,3.82,2.13,3.68,3.49,5.87,2.74,3.63,2.74,2.55,1,1.91,5.28,3.83,1.51,2.44,3.59,2.24,2.36,3.4,3.88,4.08,0.78,2.18,5.56,1.68,2.21,5.09,1.63,5.3,3.78,3.37,3.58,3.49,2.87,4.81,2.81,2.39,3.95,4.06,4.55,4.14,2.62,2.13,1.07,6.8,5.24,6.05,3.03,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.29,4.06,4.61,5.6,4.03,1.8,5.52,3.22,5.05,1.21,3.76,2.68,3.06,2.31,5.04,3.77,7.14,6.46,4.18,3.29,4.92,2.56,6.24,6.16,2.77,7.02,2.83,2.13,4.62,5,5.09,3.12,3.42,4.13,1.11,4.74,2.36,3.44,1.62,4.87,3.43,3.04,8.81,4.67,3.1,2.13,3.91,3.06,6.38,2.61,1.77,3.31,4.22,4,5.83,5.41,3.07,3.83,1.71,5.08,5.72,1.44,2.63,5.29,1.74,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,6.6,4.81,2.46,3.18,4.33,2.14,2.62,2.71,3.34,2.92,5.58,4,2.81,0.98,1.34,3.77,2.84,3.97,3.25,0.31,0.99,7.24,2.63,3.52,2.83,1.53,5.56,1.31,4.17,3.13,2.26,1.51,1.87,5.43,2.64,0.78,2.61,0.47,3.39,2.29,1.93,1.63,1.39,7.37,3.27,2.06,1.72,3.42,3.39,7.55,1.79,2.1,5.15,1.83,0.89,3.51,3.13,4.38,1.67,5.82,5.39,4.17,4.81,1.96,1.43,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.32,4.08,4.55,4.5,1.79,2.37,2.93,3.87,3.8,3.1,4.79,5.21,2.29,1.33,3.2,2,4.87,1.8,2.8,3.56,3.53,3.31,3.76,3.1,1.77,5.53,3.28,2.03,5.42,3.17,1.68,5.99,5.24,1.07,5.83,2.17,4.02,3.29,3.4,2.48,3.26,7.51,5.34,5.62,0.62,4.38,2.07,1.07,4.63,4.32,3.57,2.65,2.81,6.74,5.63,6.93,2.61,3.72,2.21,4.68,4.34,2.63,1.79,9.78,1.19,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
