Rainfall at,NENAGH CASTLE LOUGH
,
Station no,6043,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,5.79,5.22,4.79,3.62,4.86,5.19,7.34,5.02,6.38,1.66,7.56,
February,3.61,1.86,6.12,5.86,1.45,5.95,3.99,2.55,5.61,3.22,0.83,
March,3.28,4.06,2.07,2.87,1.03,0.73,2.16,4.33,4.10,1.04,5.01,
April,3.61,1.11,3.14,3.30,3.16,5.44,2.63,1.95,2.71,1.31,2.12,
May,4.58,2.09,2.00,1.47,3.10,4.99,2.44,1.62,1.47,2.43,1.52,
June,2.08,0.76,1.89,1.11,3.60,0.70,2.75,4.38,4.33,1.40,2.11,
July,5.30,3.78,3.37,3.58,3.49,2.87,4.81,2.81,2.39,3.95,4.06,
August,2.13,3.91,3.06,6.38,2.61,1.77,3.31,4.22,4.00,5.83,5.41,
September,2.06,1.72,3.42,3.39,7.55,1.79,2.10,5.15,1.83,0.89,3.51,
October,4.38,2.07,1.07,4.63,4.32,3.57,2.65,2.81,6.74,5.63,6.93,
November,4.66,4.04,1.27,3.84,4.16,2.65,5.74,3.17,6.26,5.53,4.05,
December,3.77,4.40,5.50,4.15,8.49,3.51,0.88,3.63,4.96,8.80,4.66,
Total,45.25,35.02,37.70,44.20,47.82,39.16,40.80,41.64,50.78,41.69,47.77,
Calc annual,45.25,35.02,37.70,44.20,47.82,39.16,40.80,41.64,50.78,41.69,47.77,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
