PONTEFRACT-PURSTONE-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SE429196,Long,-1.3521318,Lat,53.671121,Elevation,190,ft.,,,,,,,,,,,,
Station no,RR8057,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,3.45,1.54,0.41,1.25,2.25,1.05,1.38,1.48,1.38,,,,,
February,,,,,,,0.56,0.55,1.58,1.11,0.88,0.02,1.87,2.94,3.46,,,,,
March,,,,,,,1.54,0.94,2.67,3.15,1.57,1.13,0.85,0.32,0.92,,,,,
April,,,,,,,1.63,0.71,1.97,3.01,0.85,1.79,1.11,0.52,4.18,,,,,
May,,,,,,,5.24,1.92,0.42,4.62,2.21,2.72,3.51,1.75,1.42,,,,,
June,,,,,,,0.66,0.13,1.78,0.56,2.55,2.11,4.37,0.92,2.42,,,,,
July,,,,,,,6.13,0.84,4.23,1.11,1.63,2,1.49,3.45,3.95,,,,,
August,,,,,,,1.63,1.68,1.79,3.78,2.62,3.5,2.16,2.18,,,,,,
September,,,,,,,1.2,2.41,0.93,1.19,1.85,1.38,1.15,1.1,,,,,,
October,,,,,,,3.46,2.28,0.86,3.38,0.58,3.12,5.62,2.02,,,,,,
November,,,,,,,1.17,1.3,4.35,0.74,2.96,2.22,1.04,1.77,,,,,,
December,,,,,,,3.72,1.03,1.73,1.52,0.85,3.48,0.46,2.8,,,,,,
Total,,,,,,,30.39,15.33,22.72,25.42,20.8,24.52,25.01,21.25,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Purston Hall. Altitudes match.,,,,,,,,,,,,,,,,,,,,
