CAMBORNE-REDBROOK-RD-(ROSKEAR-SCHOOL),,,,,,,,
Grid ref,SW654404,Long,-5.28947,Lat,50.21717,Elevation,349,ft
Station no,1876,,,,,,,
,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,
January,,4.79,6.18,2.84,6.49,3.69,6.73,
February,,1.06,3.78,9.21,2.83,6.37,3.26,
March,,4.11,4.63,2.33,0.98,0.58,0.87,
April,,0.95,3.97,4.42,3.57,3.57,2.8,
May,,3.06,1.37,2.62,2.27,4.42,2.29,
June,,0.12,0.98,0.51,1.56,0.02,3.31,
July,,1.98,4.64,1.27,3.96,3.46,1.16,
August,,4.29,3.64,2.4,2.79,3.5,,
September,3.17,0.48,2.98,2.86,4.13,2.84,,
October,9.47,1.3,1.38,6.25,8.32,4.73,,
November,2.34,6.03,2.3,4.82,3.31,4.03,,
December,5.84,2.77,8,4.55,8.03,5.32,,
Total,,30.94,43.85,44.08,48.24,42.53,,
,,,,,,,,
Roskear School,,,,,,,,
1926 Aug 1 Gauge moved 0.5 miles S to Redbrook Rd,,,,,,,,
