CAMBORNE-REDBROOK-RD,,,,,,,,,,,,,,,
Grid ref,SW651396,Long,-5.29281,Lat,50.20971,Elevation,402,ft,,,,,,,
Station no,1876,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,7.59,9.85,4.14,8.47,4.91,5.16,3.19,4.51,1.4,6.14,8.59,5.64,7.57,
February,,3.1,4.2,3.77,3.96,3.83,0.02,4.16,0.28,4.16,6.46,6.98,2.37,2.65,
March,,4.4,7.21,0.73,3.18,5.22,2.68,4.65,5.36,1.28,4.71,6.08,0.56,1.77,
April,,2.83,3.26,1.26,3.8,1.77,2.78,3.22,4.35,5.21,2.35,3.54,0.08,3.12,
May,,0.97,1.59,5.12,2.1,3.81,5.11,2.84,2.16,1.24,1.37,2.5,2.93,1.2,
June,,3.98,2.47,3.2,1.57,3.5,3.03,2.05,2.15,3.23,1.82,1.72,1.48,3.15,
July,,3.36,1.77,1.7,3.13,6.49,5.07,2.92,0.25,0.44,6.74,1.77,3.79,6.52,
August,,3.3,1.85,3.46,6.03,3.37,1.51,2,3.83,3.54,0.58,0.95,4.36,2.83,
September,1.01,6.88,1.6,0.63,7.04,3.23,5.01,2.44,3.91,4.44,3.16,3.66,2.58,0.76,
October,3.52,3.27,8.58,7.71,5.96,1.3,9.18,7.74,3.65,4.95,1.52,3.57,4.95,3.49,
November,8.97,4.92,4.65,13.95,8.11,9.2,3.15,2,2.14,6.71,5.13,3.31,6.91,7.56,
December,1.42,4.57,6.08,9.07,4.42,2.37,4.35,2.44,13.33,5.14,4.82,4.56,6.04,3.63,
Total,,49.17,53.11,54.74,57.77,49,47.05,39.65,45.92,41.74,44.8,47.23,41.69,44.25,
,,,,,,,,,,,,,,,
Chyvo Redbrook Rd Between 24 and 38 on S side of road,,,,,,,,,,,,,,,
1926 Aug 1 Gauge moved 0.5 miles S from Roskear School,,,,,,,,,,,,,,,
1929 Gauge moved 50ft NE during year,,,,,,,,,,,,,,,
