"BELLINGHAM HIGH GREEN MANOR",,,,,,,,,,,,
Grid ref,NY809910,Long,-2.301710,Lat,55.212868,,,,,,,
Station no,3580,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.40,3.14,,
February,,,,,,,,,1.94,2.77,,
March,,,,,,,,,4.52,4.92,,
April,,,,,,,,,1.89,3.88,,
May,,,,,,,,,2.70,2.23,,
June,,,,,,,,,1.90,3.01,,
July,,,,,,,,,2.77,2.57,,
August,,,,,,,,,3.48,3.01,,
September,,,,,,,,,3.90,2.74,,
October,,,,,,,,,3.25,5.05,,
November,,,,,,,,,2.22,1.40,,
December,,,,,,,,2.55,1.25,4.06,,
Total,,,,,,,,,33.22,38.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.55,33.22,38.78,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
