"NANTWICH (REASEHEATH HALL)",,,,,,,,,,,,
Grid ref,SJ648542,Long,-2.526967,Lat,53.083851,,,,,,,
Station no,2764,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.79,3.03,0.91,1.49,1.95,3.55,1.06,2.70,2.90,4.88,,
February,1.99,1.09,1.46,2.55,1.47,0.41,1.74,4.24,0.25,2.21,,
March,4.42,1.12,1.00,2.56,1.84,1.10,1.89,1.32,1.40,1.27,,
April,1.68,2.37,2.62,0.41,1.43,1.93,0.34,0.73,3.43,1.41,,
May,2.75,2.24,1.49,2.15,2.38,0.42,1.48,2.22,1.42,1.70,,
June,0.83,2.08,1.77,3.96,2.82,1.74,1.70,4.40,1.94,2.84,,
July,1.70,2.30,3.43,3.22,0.47,3.45,5.91,3.11,1.86,3.17,,
August,3.66,1.82,2.47,3.22,0.92,5.89,4.02,3.32,0.51,3.88,,
September,1.88,2.10,2.55,2.71,2.43,1.78,5.98,4.22,0.14,3.44,,
October,0.94,3.79,1.92,4.57,1.72,2.06,2.34,2.53,2.46,3.77,,
November,5.96,1.66,1.77,4.08,1.32,0.79,1.48,1.80,3.13,4.30,,
December,3.59,3.41,1.28,3.06,2.66,1.99,1.65,2.89,4.60,2.47,,
Total,31.19,27.01,22.67,33.98,21.41,25.11,29.59,33.48,24.04,35.34,,
Calc annual,31.19,27.01,22.67,33.98,21.41,25.11,29.59,33.48,24.04,35.34,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
