"CRAIGWARD COTTAGE, CLACKMANNAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 87966 92323,Long,-3.803122,Lat,56.110484,Elevation,3,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,1.55,2.7,,,,,,,,,,,2.95,5.3,7.75,4.65,,,,,,
February,,,,,,,,,0.82,3.5,,,,,,,,,,,4.6,2.2,2.95,1.65,,,,,,
March,,,,,,,,,4.12,3.15,,,,,,,,,,,0.3,4,0.6,0.62,,,,,,
April,,,,,,,,,1.83,1.08,,,,,,,,,,,2.15,2.15,0.6,1.1,,,,,,
May,,,,,,,,,2.18,1.3,,,,,,,,,,,1.92,0.4,2.3,0.6,,,,,,
June,,,,,,,,,6.15,2.32,,,,,,,,,,,1.75,2.52,3.13,4.25,,,,,,
July,,,,,,,,,3.02,3.25,,,,,,,,,,,2.1,3.32,2.8,4,,,,,,
August,,,,,,,,,4.08,2,,,,,,,,,,,3,3.55,3.67,3.83,,,,,,
September,,,,,,,,,3.1,5.5,,,,,,,,,,,2.75,3.77,2.05,2.32,,,,,,
October,,,,,,,,,3.33,3.3,,,,,,,,,,,1.4,1.95,2.8,4.9,,,,,,
November,,,,,,,,,2.47,2.47,,,,,,,,,,,3.65,0.75,5.35,2.05,,,,,,
December,,,,,,,,,2.35,3.85,,,,,,,,,,,3.7,1.5,8.25,0.37,,,,,,
Total,,,,,,,,,35,34.42,,,,,,,,,,,30.27,31.41,42.25,30.34,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
