"HUNTLY, CORSDEAN",,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 53049 39592,Long,-2.783868,Lat,57.444199,Elevation,390,ft,,,,,,,,,,,,,
Station no,5661,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.72,3.35,1.5,1.53,2.33,2.32,3.22,1.89,2.18,2.89,,,,,,,,,
February,,,2.81,6.31,2.78,6.01,1.85,1.42,1.16,1.53,1.83,2.16,,,,,,,,,
March,,,2.38,0.81,1.46,3.37,1.65,2.44,2.75,0.47,1.97,1.36,,,,,,,,,
April,,,3.94,2.4,1.43,2.57,3.12,3.21,1.89,1.57,2.36,1.72,,,,,,,,,
May,,,1.68,9.11,4.34,3.05,3.98,3.54,1.76,1.78,1.24,2.64,,,,,,,,,
June,,,1.89,1.82,3.34,1.22,3.47,3.89,3.7,3.2,2.77,3.16,,,,,,,,,
July,,,4.29,3.56,4.56,3.88,2.02,1.62,2.44,2.9,3.65,3.61,,,,,,,,,
August,,,2.37,5.47,3.99,1.76,1.71,2.08,3.43,3.09,5.89,3.14,,,,,,,,,
September,,,2.59,3.07,4.69,4.09,3.23,7.08,3.79,1.52,5.34,1.99,,,,,,,,,
October,,,2.17,3.58,3.68,3.01,5.5,5.08,2.92,4.16,4.12,2.6,,,,,,,,,
November,,,2.6,5.49,2.01,2.54,3.41,4.95,4.62,2.01,4.12,2.52,,,,,,,,,
December,,,1.63,3.61,1.5,3.45,1.78,2.77,3.12,6.51,2.09,2.29,,,,,,,,,
Total,,,33.07,48.58,35.28,36.48,34.05,40.4,34.8,30.63,37.56,30.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Location http://www.pandjstarkey.com/index.asp?pageid=675382,,,,,,,,,,,,,,,,,,,,,
G tfr 1932 to HUNTLY-UNION-BANK,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5661,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,
