WIMBORNE-MELBURY-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU016004,Long,-1.9783,Lat,50.8033,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.43,5.94,1.59,4.48,2.51,2.88,2.92,2.66,0.84,5.96,6.4,3.86,6.8,3.9,4.65,,,,,,,,,
February,,,,,,,,3.48,2.97,1.38,0.82,2.16,0.05,4.8,0.05,3.75,3.39,6.71,0.86,1.92,4.72,4.13,,,,,,,,,
March,,,,,,,,3.83,3.12,0.19,1.08,1.14,1.66,3.93,3.47,1,4.05,4.2,0.27,1.47,3.35,3.89,,,,,,,,,
April,,,,,,,,2.24,1.77,0.8,2.62,2.51,2.89,1.67,2.15,3.58,2.1,2.63,0,2.45,1.28,2.4,,,,,,,,,
May,,,,,,,,0.93,1.87,2.41,2.82,3.5,3.28,1.28,0.81,1.14,0.54,3.5,1.88,1.3,1.29,2.51,,,,,,,,,
June,,,,,,,,2.53,2.33,1.6,0.4,3.03,2.49,1.13,1.54,4.28,2.15,0.45,0.73,2.4,0.32,,,,,,,,,,
July,,,,,,,,3.07,1.32,1.22,1.68,4.82,2.97,2.02,0.37,0.89,4.58,2.26,2.97,5.25,4.49,,,,,,,,,,
August,,,,,,,,3.91,3.21,1.72,3.98,3.26,1,1.15,3.97,3.52,0.23,1.2,2.96,2.65,0,,,,,,,,,,
September,,,,,,,,5.98,2.43,0.58,3.82,1.63,3.88,1.46,2.25,3.25,2.92,3.18,2.23,1.87,1.72,,,,,,,,,,
October,,,,,,,,2.63,8.36,4.21,2.29,0.87,5.76,1.91,1.71,6.38,1.59,6.07,4.1,6.56,5.52,,,,,,,,,,
November,,,,,,,,3.33,3.58,9.46,6.57,5.23,2.63,0.82,2.65,8.83,3.53,2.01,6.54,7.47,9.17,,,,,,,,,,
December,,,,,,,,4.63,2.86,7.6,4.74,1.13,1.59,1.21,10.48,5.95,4.22,5.06,4.5,2.26,3.39,,,,,,,,,,
Total,,,,,,,,38.99,39.76,32.76,35.3,31.79,31.08,24.3,32.11,43.41,35.26,43.67,30.9,42.4,39.15,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House found on 1887 OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Given elevation of 150ft a little low for this area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Station terminated on death of observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
