COTGRAVE-RES,,,,,,,,,,
Grid ref,SK667349,Long,-1.009697,Lat,52.907402,Elevation,317,ft,,
Station no,2591/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.25,1.64,2.43,1.57,2.33,2.21,4.08
February,,,,2.06,1.37,0.25,1.99,2.32,0.14,1.33
March,,,,1.38,2.02,0.66,1.76,1.33,1.5,1.27
April,,,,0.23,1.14,1.45,0.16,0.57,2.45,0.77
May,,,,2.39,3.07,0.47,1.37,2.46,0.45,0.87
June,,,,2.69,3.43,3.17,1.35,4.68,1.06,1.9
July,,,,1.71,0.99,2.26,2.39,3.7,1.25,2.77
August,,,,3.88,0.22,4.39,2.03,1.76,0.77,3.63
September,,,,1.93,0.54,1.55,5.33,1.75,0.05,3.82
October,,,,2.88,1.56,1.36,1.04,1.83,1.57,4.91
November,,,,4.31,1.01,0.56,1.61,1.4,2.07,2.59
December,,,,1.84,1.42,1.95,1.66,2.6,2.43,2.92
Total,,,,26.55,18.41,20.5,22.26,26.73,15.95,30.86
