BURWASH-CROWHURST-BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ681264,Long,0.394964,Lat,51.012416,Elevation,97,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,562/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.23,0.9,5.54,7.11,4.22,6.52,2.55,4.17,2.57,5.48,1.87,1.99,2.7,2.57,5.51,1.84,1.33,3.82,3.4,1.05,2.03,4.41,5.12,3.02,3.84,2.93,2.78
February,,,,0.17,5.32,2.12,5.18,0.65,1.74,2.59,3.51,0.75,1.96,1.04,1.99,3.16,2.27,1.67,1.66,5.7,7.33,1.3,1.4,2.38,2,0.76,5.07,2.98,0.07,2.87
March,,,,3.86,0.55,1.18,4.56,0.53,1.67,3.26,2.41,3.7,0.29,0.04,1.51,1.59,6.95,0.83,0.98,1.71,4.03,2.79,0.18,3.41,1.37,0.77,1.43,1.73,2.16,2.87
April,,,,2.38,3.95,2.28,2.39,0.53,2.43,1.6,1.86,1.39,1.65,1.41,0.97,1.8,1.78,1.38,1.62,2.45,2.41,1.91,2.27,0.4,0.24,1.06,0.27,1.52,2.64,1
May,,,,0.57,1.57,0.28,2.28,2.22,1.91,1.26,2.25,3.52,2.94,0.65,2.08,2.9,2.05,2.15,1.72,1.09,1.72,1.29,1.38,2.2,4.7,0.36,1.15,2.18,0.7,1.85
June,,,,1.18,1.98,3.06,2.02,0.94,1.58,0.34,2.35,0.22,1.09,1.17,0.97,2.41,2.91,2.79,0.84,1.1,1.31,1.07,1.81,3.67,1.9,2.63,0.89,4.47,0.6,1.77
July,,,,1.03,0.72,3.92,0.67,2.22,2.54,2.48,3.55,1.96,1.93,3.02,2.48,2.16,2.2,1.69,0.21,2.46,2.3,0.76,3.52,3.99,2.27,3.37,5.06,2.4,2.27,3.61
August,,,,2.07,4.53,1.06,1.2,2.12,1.69,0.07,4.42,1.82,1.21,3.13,1.96,6.86,0.06,3.85,1.56,3.11,4.96,4.39,2.39,3.5,1.39,3.35,3.14,3.72,1.16,4.55
September,,,,1.68,5.33,2.4,1.82,3.43,0.67,1.77,0.36,2.21,1.73,2.49,1.59,2.8,1.65,2.53,2.72,2.83,3.88,3.61,4.95,2.89,2.09,3.27,3.89,3.43,0.07,3.36
October,,,,1.99,4.31,1.69,3.88,4.78,7.08,4.46,1.59,3.07,2.41,5.15,2.88,0.95,0.84,2.07,7.92,0.65,1.96,3.99,2.92,3.5,5.42,1.46,1.49,3.65,3.23,8.69
November,,,,3.76,7.49,4.98,1.27,4.05,6.57,7.7,4.36,1.74,1.63,5.46,0.39,5.46,1.54,2.19,4.01,7.31,5.95,5.18,1.93,6.77,1.44,0.95,3.32,1.54,5.34,7.27
December,,,,8.38,5.69,2.97,4.22,3.85,1.81,1.98,2.37,3.12,2.3,2.66,4.42,3.38,2.99,3.59,1.48,2.4,3.52,3.53,0.82,2.13,3.52,4.89,2.71,4.19,8.19,3.36
Total,,,,30.3,42.34,31.48,36.6,29.54,36.21,30.06,33.2,26.07,24.62,28.09,23.23,36.17,27.81,30.25,26.56,32.14,43.19,33.22,24.62,36.87,30.75,27.99,31.44,35.65,29.36,43.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Aug IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
